bioguide,candidate_id,cycle,totals_source,active_through,address_city,address_state,address_street_1,address_street_2,address_zip,all_other_loans,candidate_contribution,candidate_election_year,candidate_inactive,candidate_status,cash_on_hand_end_period,contribution_refunds,contributions,coverage_end_date,coverage_start_date,cycles,debts_owed_by_committee,disbursements,district,district_number,election_districts,election_full,election_year,election_years,exempt_legal_accounting_disbursement,federal_funds,federal_funds_flag,first_file_date,fundraising_disbursements,has_raised_funds,incumbent_challenge,incumbent_challenge_full,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,is_election,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_f2_date,last_file_date,last_net_contributions,last_net_operating_expenditures,last_report_type_full,last_report_year,load_date,loan_repayments,loan_repayments_candidate_loans,loan_repayments_other_loans,loans,loans_made_by_candidate,name,net_contributions,net_operating_expenditures,office,office_full,offsets_to_fundraising_expenditures,offsets_to_legal_accounting,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,other_political_committee_contributions,other_receipts,party,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,state,state_full,total_offsets_to_operating_expenditures,transaction_coverage_date,transfers_from_other_authorized_committee,transfers_to_other_authorized_committee,two_year_period
D000634,H4MT02098,2026,candidate,,,,,,,0.0,0.0,2026,,,,1813.83,413461.67,2025-06-30T00:00:00,2025-01-01T00:00:00,,,420181.59,,,,True,,,0.0,0.0,,,0.0,,,,260684.12,140139.41,120544.71,,202507159763248573,163357.35,2008670.84,0.0,,,206522.39,259346.92,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,411647.84,411909.71,,,0.0,0.0,2958.05,414867.76,3500.0,152777.55,0.0,,,0.0,472008.44,1813.83,0.0,0.0,,,0.0,2025-06-30T00:00:00,55588.72,0.0,
E000246,H2NC14050,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,129049.44,2025-06-30T00:00:00,2025-01-01T00:00:00,,,80034.83,,,,True,,,0.0,0.0,,,0.0,,,,59549.44,59150.0,399.44,,202507099762741166,163284.29,936.49,0.0,,,89865.0,42275.48,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,129049.44,76464.83,,,0.0,0.0,3570.0,80034.83,0.0,69500.0,0.0,,,0.0,134555.08,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,1935.64,0.0,
E000297,H2NY13096,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,645368.51,2025-06-30T00:00:00,2025-01-01T00:00:00,,,169017.98,,,,True,,,0.0,0.0,,,0.0,,,,510193.51,502263.07,7930.44,,202507159763245563,873415.52,0.0,0.0,,,415675.0,73076.84,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,645368.51,167877.68,,,0.0,0.0,640.3,168517.98,500.0,135175.0,0.0,,,0.0,646008.81,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
E000301,H4MD03156,2026,candidate,,,,,,,0.0,0.0,2026,,,,176.0,311182.58,2025-06-30T00:00:00,2025-01-01T00:00:00,,,164410.39,,,,True,,,0.0,0.0,,,0.0,,,,187135.58,161692.43,25443.15,,202507159763055247,183592.9,0.0,0.0,,,164985.82,70324.79,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,311006.58,142606.07,,,0.0,0.0,6081.16,148687.23,15547.16,124047.0,0.0,,,0.0,317263.74,176.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
F000454,H8IL14067,2026,candidate,,,,,,,0.0,0.0,2026,,,,35.0,619335.43,2025-06-30T00:00:00,2025-01-01T00:00:00,,,371384.16,,,,True,,,0.0,0.0,,,0.0,,,,345835.43,293669.43,52166.0,,202507159763249965,1865755.92,1017994.89,0.0,,,307964.0,108577.09,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,619300.43,244169.39,,,0.0,0.0,8929.77,253099.16,118250.0,273500.0,58310.22,,,0.0,686575.42,35.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
F000466,H6PA08277,2026,candidate,,,,,,,0.0,0.0,2026,,,,2309.22,1492604.05,2025-06-30T00:00:00,2025-01-01T00:00:00,,,482875.02,,,,True,,,0.0,0.0,,,0.0,,,,501601.15,487169.65,14431.5,,202507159763202167,6475139.56,24750.0,0.0,,,655285.43,207420.22,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,1490294.83,478944.32,,,0.0,0.0,121.48,479065.8,1500.0,986002.9,85971.84,,,5000.0,2535484.6,2309.22,0.0,0.0,,,0.0,2025-06-30T00:00:00,956787.23,0.0,
F000471,H0WI05113,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,389931.34,2025-06-30T00:00:00,2025-01-01T00:00:00,,,173838.8,,,,True,,,0.0,0.0,,,0.0,,,,107931.34,97502.52,10428.82,,202507159763481969,1053726.34,0.0,0.0,,,199293.7,105762.04,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,389931.34,173838.8,,,0.0,0.0,0.0,173838.8,0.0,282000.0,28.0,,,0.0,389959.34,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
F000476,H2FL10259,2026,candidate,,,,,,,0.0,4250.0,2026,,,,5670.47,1237097.05,2025-06-30T00:00:00,2025-01-01T00:00:00,,,887622.31,,,,True,,,0.0,0.0,,,0.0,,,,1170347.05,366336.16,804010.89,,202507159763189631,1456294.25,0.0,0.0,,,641827.11,311648.62,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,1231426.58,741186.29,,,0.0,0.0,1074.35,742260.64,139391.2,62500.0,19.44,,,0.0,1252190.84,5670.47,0.0,0.0,,,0.0,2025-06-30T00:00:00,14000.0,300.0,
F000480,H4CA20181,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,501014.26,2025-06-30T00:00:00,2025-01-01T00:00:00,,,345076.42,,,,True,,,0.0,0.0,,,0.0,,,,245641.2,235965.96,9675.24,,202507159763463400,207405.43,214231.28,0.0,,,248005.69,153304.15,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,501014.26,312526.42,,,0.0,0.0,0.0,312526.42,32550.0,255373.06,0.0,,,0.0,513250.45,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,12236.19,0.0,
F000484,H6FL06258,2026,candidate,,,,,,,0.0,0.0,2026,,,,5750.0,2028972.76,2025-06-30T00:00:00,2024-11-26T00:00:00,,,2599995.26,,,,True,,,0.0,0.0,,,0.0,,,,1678262.57,1261826.15,416436.42,,202507159763383539,380627.37,1034291.08,0.0,,,64684.7,88128.02,JULY QUARTERLY,2025,,0.0,0.0,0.0,950000.0,950000.0,,2023222.76,2397595.39,,,0.0,0.0,1649.87,2399245.26,195000.0,350710.19,0.0,,,0.0,2980622.63,5750.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
