county,precinct,office,district,candidate,party,absentee_mail,early_voting,election_day,votes
Adair,10001,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,FOR THE PROPOSAL - YES,,6,20,96,122
Adair,10001,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,AGAINST THE PROPOSAL - NO,,17,29,163,209
Adair,10002,President,,DONALD J. TRUMP | MICHAEL R. PENCE,REP,11,23,211,245
Adair,10002,President,,JO JORGENSEN | JEREMY SPIKE COHEN,LIB,0,0,1,1
Adair,10002,President,,JOSEPH R. BIDEN | KAMALA D. HARRIS,DEM,6,3,47,56
Adair,10002,President,,JADE SIMMONS | CLAUDELIAH J. ROZE,IND,0,0,1,1
Adair,10002,President,,KANYE WEST | MICHELLE TIDBALL,IND,0,1,3,4
Adair,10002,President,,BROCK PIERCE | KARLA BALLARD,IND,0,0,0,0
Adair,10002,Corporation Commissioner,,TODD HIETT,REP,11,24,213,248
Adair,10002,Corporation Commissioner,,TODD HAGOPIAN,LIB,5,3,31,39
Adair,10002,U.S. Senate,,JIM INHOFE,REP,11,22,199,232
Adair,10002,U.S. Senate,,ROBERT MURPHY,LIB,0,0,4,4
Adair,10002,U.S. Senate,,ABBY BROYLES,DEM,6,5,55,66
Adair,10002,U.S. Senate,,JOAN FARR,IND,0,0,3,3
Adair,10002,U.S. Senate,,A. D. NESBIT,IND,0,0,1,1
Adair,10002,U.S. House,2,MARKWAYNE MULLIN,REP,11,22,208,241
Adair,10002,U.S. House,2,RICHIE CASTALDO,LIB,0,2,7,9
Adair,10002,U.S. House,2,DANYELL LANIER,DEM,6,3,46,55
Adair,10002,State Senate,3,BLAKE COWBOY STEPHENS,REP,11,25,204,240
Adair,10002,State Senate,3,DYLLON FITE,DEM,5,2,55,62
Adair,10002,FOR COUNTY SHERIFF,,JOHN R. BERRY,REP,6,15,125,146
Adair,10002,FOR COUNTY SHERIFF,,JASON RITCHIE,IND,11,12,122,145
Adair,10002,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,YES,,11,17,135,163
Adair,10002,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,NO,,3,9,91,103
Adair,10002,SUPREME COURT DISTRICT 6 - TOM COLBERT,,YES,,8,17,137,162
Adair,10002,SUPREME COURT DISTRICT 6 - TOM COLBERT,,NO,,5,10,91,106
Adair,10002,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,YES,,9,15,131,155
Adair,10002,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,NO,,4,11,95,110
Adair,10002,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,YES,,9,16,133,158
Adair,10002,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,NO,,4,10,90,104
Adair,10002,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,YES,,10,16,134,160
Adair,10002,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,NO,,3,10,88,101
Adair,10002,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,YES,,10,12,114,136
Adair,10002,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,NO,,2,14,111,127
Adair,10002,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,YES,,10,13,129,152
Adair,10002,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,NO,,3,13,94,110
Adair,10002,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,YES,,9,14,129,152
Adair,10002,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,NO,,4,12,99,115
Adair,10002,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,FOR THE PROPOSAL - YES,,8,6,56,70
Adair,10002,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,AGAINST THE PROPOSAL - NO,,8,20,196,224
Adair,10002,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,FOR THE PROPOSAL - YES,,5,10,94,109
Adair,10002,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,AGAINST THE PROPOSAL - NO,,10,17,154,181
Adair,10003,President,,DONALD J. TRUMP | MICHAEL R. PENCE,REP,8,4,101,113
Adair,10003,President,,JO JORGENSEN | JEREMY SPIKE COHEN,LIB,0,0,0,0
Adair,10003,President,,JOSEPH R. BIDEN | KAMALA D. HARRIS,DEM,0,0,23,23
Adair,10003,President,,JADE SIMMONS | CLAUDELIAH J. ROZE,IND,0,0,2,2
Adair,10003,President,,KANYE WEST | MICHELLE TIDBALL,IND,0,0,0,0
Adair,10003,President,,BROCK PIERCE | KARLA BALLARD,IND,0,0,0,0
Adair,10003,Corporation Commissioner,,TODD HIETT,REP,8,4,99,111
Adair,10003,Corporation Commissioner,,TODD HAGOPIAN,LIB,0,0,25,25
Adair,10003,U.S. Senate,,JIM INHOFE,REP,8,4,94,106
Adair,10003,U.S. Senate,,ROBERT MURPHY,LIB,0,0,0,0
Adair,10003,U.S. Senate,,ABBY BROYLES,DEM,0,0,31,31
Adair,10003,U.S. Senate,,JOAN FARR,IND,0,0,2,2
Adair,10003,U.S. Senate,,A. D. NESBIT,IND,0,0,1,1
Adair,10003,U.S. House,2,MARKWAYNE MULLIN,REP,8,2,100,110
Adair,10003,U.S. House,2,RICHIE CASTALDO,LIB,0,0,3,3
Adair,10003,U.S. House,2,DANYELL LANIER,DEM,0,1,25,26
Adair,10003,State Senate,3,BLAKE COWBOY STEPHENS,REP,8,4,101,113
