county,precinct,office,district,candidate,party,votes
Mercer,PRECINCT 54,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 56,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 58,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,4
Mercer,PRECINCT 59,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 60,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,2
Mercer,PRECINCT 62,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,12
Mercer,PRECINCT 64,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,5
Mercer,PRECINCT 65,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,3
Mercer,PRECINCT 66,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,2
Mercer,PRECINCT 67,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 68,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 69,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 71,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,2
Mercer,PRECINCT 72,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 73,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 74,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,2
Mercer,PRECINCT 75,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,4
Mercer,PRECINCT 78,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 79,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 80,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,29
Mercer,PRECINCT 81,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,9
Mercer,PRECINCT 82,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,11
Mercer,PRECINCT 85,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,4
Mercer,PRECINCT 86,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,4
Mercer,PRECINCT 88,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 89,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 95,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,3
Mercer,PRECINCT 96,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 98,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,2
Mercer,PRECINCT 1,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 2,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 3,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 4,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 14,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 15,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 20,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 27,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 28,PRESIDENT,,MATTHEW JOHN MATERN,REP,2
Mercer,PRECINCT 31,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 32,PRESIDENT,,MATTHEW JOHN MATERN,REP,2
Mercer,PRECINCT 36,PRESIDENT,,MATTHEW JOHN MATERN,REP,2
Mercer,PRECINCT 44,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 47,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 48,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 49,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 52,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 53,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 54,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 56,PRESIDENT,,MATTHEW JOHN MATERN,REP,5
Mercer,PRECINCT 58,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 59,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 60,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 62,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 64,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 65,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 66,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 67,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 68,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 69,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 71,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 72,PRESIDENT,,MATTHEW JOHN MATERN,REP,2
Mercer,PRECINCT 73,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 74,PRESIDENT,,MATTHEW JOHN MATERN,REP,2
Mercer,PRECINCT 75,PRESIDENT,,MATTHEW JOHN MATERN,REP,3
Mercer,PRECINCT 78,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 79,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 80,PRESIDENT,,MATTHEW JOHN MATERN,REP,3
Mercer,PRECINCT 81,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 82,PRESIDENT,,MATTHEW JOHN MATERN,REP,2
Mercer,PRECINCT 85,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 86,PRESIDENT,,MATTHEW JOHN MATERN,REP,2
Mercer,PRECINCT 88,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 89,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 95,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 96,PRESIDENT,,MATTHEW JOHN MATERN,REP,0
Mercer,PRECINCT 98,PRESIDENT,,MATTHEW JOHN MATERN,REP,1
Mercer,PRECINCT 1,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 2,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 3,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 4,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 14,PRESIDENT,,BILL WELD,REP,2
Mercer,PRECINCT 15,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 20,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 27,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 28,PRESIDENT,,BILL WELD,REP,8
Mercer,PRECINCT 31,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 32,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 36,PRESIDENT,,BILL WELD,REP,3
Mercer,PRECINCT 44,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 47,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 48,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 49,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 52,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 53,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 54,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 56,PRESIDENT,,BILL WELD,REP,8
Mercer,PRECINCT 58,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 59,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 60,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 62,PRESIDENT,,BILL WELD,REP,2
Mercer,PRECINCT 64,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 65,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 66,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 67,PRESIDENT,,BILL WELD,REP,2
Mercer,PRECINCT 68,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 69,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 71,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 72,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 73,PRESIDENT,,BILL WELD,REP,3
Mercer,PRECINCT 74,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 75,PRESIDENT,,BILL WELD,REP,10
Mercer,PRECINCT 78,PRESIDENT,,BILL WELD,REP,2
Mercer,PRECINCT 79,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 80,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 81,PRESIDENT,,BILL WELD,REP,2
Mercer,PRECINCT 82,PRESIDENT,,BILL WELD,REP,3
Mercer,PRECINCT 85,PRESIDENT,,BILL WELD,REP,0
Mercer,PRECINCT 86,PRESIDENT,,BILL WELD,REP,3
Mercer,PRECINCT 88,PRESIDENT,,BILL WELD,REP,3
Mercer,PRECINCT 89,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 95,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 96,PRESIDENT,,BILL WELD,REP,1
Mercer,PRECINCT 98,PRESIDENT,,BILL WELD,REP,2
Mercer,PRECINCT 1,PRESIDENT,,DONALD J. TRUMP,REP,56
Mercer,PRECINCT 2,PRESIDENT,,DONALD J. TRUMP,REP,91
Mercer,PRECINCT 3,PRESIDENT,,DONALD J. TRUMP,REP,177
Mercer,PRECINCT 4,PRESIDENT,,DONALD J. TRUMP,REP,231
Mercer,PRECINCT 14,PRESIDENT,,DONALD J. TRUMP,REP,7
Mercer,PRECINCT 15,PRESIDENT,,DONALD J. TRUMP,REP,60
Mercer,PRECINCT 20,PRESIDENT,,DONALD J. TRUMP,REP,43
Mercer,PRECINCT 27,PRESIDENT,,DONALD J. TRUMP,REP,94
Mercer,PRECINCT 28,PRESIDENT,,DONALD J. TRUMP,REP,116
Mercer,PRECINCT 31,PRESIDENT,,DONALD J. TRUMP,REP,96
Mercer,PRECINCT 32,PRESIDENT,,DONALD J. TRUMP,REP,118
Mercer,PRECINCT 36,PRESIDENT,,DONALD J. TRUMP,REP,246
Mercer,PRECINCT 44,PRESIDENT,,DONALD J. TRUMP,REP,197
Mercer,PRECINCT 47,PRESIDENT,,DONALD J. TRUMP,REP,161
Mercer,PRECINCT 48,PRESIDENT,,DONALD J. TRUMP,REP,43
Mercer,PRECINCT 49,PRESIDENT,,DONALD J. TRUMP,REP,103
Mercer,PRECINCT 52,PRESIDENT,,DONALD J. TRUMP,REP,100
Mercer,PRECINCT 53,PRESIDENT,,DONALD J. TRUMP,REP,118
Mercer,PRECINCT 54,PRESIDENT,,DONALD J. TRUMP,REP,175
Mercer,PRECINCT 56,PRESIDENT,,DONALD J. TRUMP,REP,238
Mercer,PRECINCT 58,PRESIDENT,,DONALD J. TRUMP,REP,220
Mercer,PRECINCT 59,PRESIDENT,,DONALD J. TRUMP,REP,130
Mercer,PRECINCT 60,PRESIDENT,,DONALD J. TRUMP,REP,19
Mercer,PRECINCT 62,PRESIDENT,,DONALD J. TRUMP,REP,276
Mercer,PRECINCT 64,PRESIDENT,,DONALD J. TRUMP,REP,154
Mercer,PRECINCT 65,PRESIDENT,,DONALD J. TRUMP,REP,394
Mercer,PRECINCT 66,PRESIDENT,,DONALD J. TRUMP,REP,142
Mercer,PRECINCT 67,PRESIDENT,,DONALD J. TRUMP,REP,72
Mercer,PRECINCT 68,PRESIDENT,,DONALD J. TRUMP,REP,22
Mercer,PRECINCT 69,PRESIDENT,,DONALD J. TRUMP,REP,110
Mercer,PRECINCT 71,PRESIDENT,,DONALD J. TRUMP,REP,290
Mercer,PRECINCT 72,PRESIDENT,,DONALD J. TRUMP,REP,179
Mercer,PRECINCT 73,PRESIDENT,,DONALD J. TRUMP,REP,192
Mercer,PRECINCT 74,PRESIDENT,,DONALD J. TRUMP,REP,236
Mercer,PRECINCT 75,PRESIDENT,,DONALD J. TRUMP,REP,331
Mercer,PRECINCT 78,PRESIDENT,,DONALD J. TRUMP,REP,115
Mercer,PRECINCT 79,PRESIDENT,,DONALD J. TRUMP,REP,143
Mercer,PRECINCT 80,PRESIDENT,,DONALD J. TRUMP,REP,129
Mercer,PRECINCT 81,PRESIDENT,,DONALD J. TRUMP,REP,151
Mercer,PRECINCT 82,PRESIDENT,,DONALD J. TRUMP,REP,181
Mercer,PRECINCT 85,PRESIDENT,,DONALD J. TRUMP,REP,39
Mercer,PRECINCT 86,PRESIDENT,,DONALD J. TRUMP,REP,162
Mercer,PRECINCT 88,PRESIDENT,,DONALD J. TRUMP,REP,313
Mercer,PRECINCT 89,PRESIDENT,,DONALD J. TRUMP,REP,61
Mercer,PRECINCT 95,PRESIDENT,,DONALD J. TRUMP,REP,94
Mercer,PRECINCT 96,PRESIDENT,,DONALD J. TRUMP,REP,80
Mercer,PRECINCT 98,PRESIDENT,,DONALD J. TRUMP,REP,237
Mercer,PRECINCT 1,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 2,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 3,PRESIDENT,,JOE WALSH,REP,3
Mercer,PRECINCT 4,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 14,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 15,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 20,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 27,PRESIDENT,,JOE WALSH,REP,5
Mercer,PRECINCT 28,PRESIDENT,,JOE WALSH,REP,4
Mercer,PRECINCT 31,PRESIDENT,,JOE WALSH,REP,3
Mercer,PRECINCT 32,PRESIDENT,,JOE WALSH,REP,2
Mercer,PRECINCT 36,PRESIDENT,,JOE WALSH,REP,3
Mercer,PRECINCT 44,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 47,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 48,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 49,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 52,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 53,PRESIDENT,,JOE WALSH,REP,3
Mercer,PRECINCT 54,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 56,PRESIDENT,,JOE WALSH,REP,6
Mercer,PRECINCT 58,PRESIDENT,,JOE WALSH,REP,5
Mercer,PRECINCT 59,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 60,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 62,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 64,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 65,PRESIDENT,,JOE WALSH,REP,3
Mercer,PRECINCT 66,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 67,PRESIDENT,,JOE WALSH,REP,0
Mercer,PRECINCT 68,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 69,PRESIDENT,,JOE WALSH,REP,3
Mercer,PRECINCT 71,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 72,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 73,PRESIDENT,,JOE WALSH,REP,2
Mercer,PRECINCT 74,PRESIDENT,,JOE WALSH,REP,3
Mercer,PRECINCT 75,PRESIDENT,,JOE WALSH,REP,6
Mercer,PRECINCT 78,PRESIDENT,,JOE WALSH,REP,1
Mercer,PRECINCT 79,PRESIDENT,,JOE WALSH,REP,2
Mercer,PRECINCT 80,PRESIDENT,,JOE WALSH,REP,2
Mercer,PRECINCT 81,PRESIDENT,,JOE WALSH,REP,2
Mercer,PRECINCT 82,PRESIDENT,,JOE WALSH,REP,4
