organization,pacs,honoree,date,amount_usd
"ELEVANCE HEALTH, INC.","Elevance Health, Inc. Political Action Committee (Elevance Health PAC)",Rep. Julie Fedorchak,2025-06-04,1000.00
"ELEVANCE HEALTH, INC.","Elevance Health, Inc. Political Action Committee (Elevance Health PAC)",Rep. Julie Fedorchak,2025-02-06,1000.00
NCTA - THE INTERNET & TELEVISION ASSOCIATION,NCTA - The Internet & Television Association Political Action Committee (NCTAPAC),Rep. Julie Fedorchak (ND-01),2025-03-31,2500.00
VENABLE LLP,,Rep. Fedorchak,2025-05-21,1000.00
TODD STRATEGY GROUP,,U.S. Representative Julie Fedorchak,2025-03-14,500.00
CLEAN ENERGY BUYERS ASSOCIATION (FORMERLY RENEWABLE ENERGY BUYERS ALLIANCE),Bipartisan Climate Fund; Conservative Climate Action PAC; Energy Buyers PAC,Julie Fedorchak,2025-06-30,500.00
INTERSTATE NATURAL GAS ASSOCIATION OF AMERICA,Interstate Natural Gas Association of America PAC,Julie Fedorchak (R-ND),2025-04-08,1000.00
NFIB (NATIONAL FEDERATION OF INDEPENDENT BUSINESS),National Federation of Independent Business Political Action Committee,Rep. Julie Fedorchak (ND-001-R),2025-05-14,1000.00
TODD STRATEGY GROUP,,U.S. Representative Julie Fedorchak,2025-03-21,500.00
"ASSOCIATED BUILDERS AND CONTRACTORS, INC.",,Rep. Julie Fedorchak,2025-06-20,2500.00
CHUBB INA HOLDINGS INC.,Chubb Group Holdings Inc. Political Action Committee; Rain and Hail Insurance Society Political Action Committee,Rep. Julie Fedorchak,2025-05-14,1000.00
"CHARTER COMMUNICATIONS, INC.",Charter Communications Inc. Political Action Committee,Rep. Julie Fedorchak,2025-05-01,2500.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,Julie Fedorchak,2025-03-06,500.00
EXXON MOBIL CORP,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC),Rep. Julie Fedorchak,2025-05-13,1000.00
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES,"Verizon Communications, Inc. Political Action Committee (Verizon PAC)",Rep. Julie Fedorchak,2025-03-19,3000.00
MORTGAGE BANKERS ASSOCIATION,Mortgage Bankers Association Political Action Committee MORPAC,Rep Julie Fedorchak,2025-05-30,1000.00
SPLITOAK STRATEGIES LLC,,Rep. Julie Fedorchak,2025-03-31,1000.00
SOUTHERN COMPANY,ALABAMA POWER CO EMPLOYEES FEDERAL POLITICAL ACTION CMTE APC EMPLOYEES FEDERAL PAC; Georgia Power Company Federal PAC; Southern Company Employees PAC; Southern Company Gas Employees PAC; Southern Nuclear Operating Company Inc PAC,Rep Julie Fedorchak,2025-03-28,2500.00
SOUTHERN COMPANY,ALABAMA POWER CO EMPLOYEES FEDERAL POLITICAL ACTION CMTE APC EMPLOYEES FEDERAL PAC; Georgia Power Company Federal PAC; Southern Company Employees PAC; Southern Company Gas Employees PAC; Southern Nuclear Operating Company Inc PAC,Rep Julie Fedorchak,2025-03-26,2500.00
AMERICAN COLLEGE OF CARDIOLOGY,American College of Cardiology PAC (HeartPAC),Rep. Julie Fedorchak,2025-03-13,2000.00
"KOUNTOUPES DENHAM CARR & REID, LLC",,Rep. Julie Fedorchak,2025-06-30,1000.00
RIDGE PATH STRATEGIES,,Rep. Julie Fedorchak (ND),2025-03-31,1000.00
INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,IPAA Wildcatters PAC Fund,Julie Fedorchak,2025-06-11,2000.00
"NATIONAL STONE, SAND AND GRAVEL ASSOCIATION","National Stone, Sand & Gravel Association ROCKPAC",Ms. Julie Fedorchak,2025-03-18,2000.00
"WILLIAMS AND JENSEN, PLLC",,Julie Fedorchak,2025-03-29,1000.00
H&M STRATEGIES LLP,Fedorchak for ND; Nick Langworthy for Congress; VIEWPAC,Congresswoman Julie Fedorchak,2025-05-08,500.00
"T-MOBILE USA, INC.",T-MOBILE US INC. POLITICAL ACTION COMMITTEE (T-PAC),Julie Fedorchak,2025-03-12,2500.00
"T-MOBILE USA, INC.",T-MOBILE US INC. POLITICAL ACTION COMMITTEE (T-PAC),Julie Fedorchak,2025-06-30,2500.00
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,American Fuels & Petrochemical Manufacturers Association PAC; American Fuels & Petrochemical Manufacturers Association PAC,Julie Fedorchak,2025-03-18,1000.00
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,American Fuels & Petrochemical Manufacturers Association PAC,Julie Fedorchak,2025-03-18,1000.00
MCGUIREWOODS LLP,McGuireWoods Federal PAC,Julie Fedorchak,2025-03-11,1000.00
MR. ROBERT TALLEY,,Rep. Fedorchak,2025-06-25,500.00
PPL CORPORATION,PPL People for Good Government,Rep. Julie Fedorchak,2025-03-11,1000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",Road to Freedom,Julie Fedorchak,2025-03-07,1000.00
AMERICAN TRUCKING ASSOCIATIONS,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC,Rep Julie Fedorchak,2025-03-17,1000.00
AMERICAN CRYSTAL SUGAR COMPANY,American Crystal Sugar Company PAC,Fedorchak For Nd,2025-04-08,5000.00
SEMPRA,Sempra Energy Employees Political Action Committee- Federal,Rep. Julie Fedorchak,2025-04-16,1000.00
RELX INC.,RELX Inc. Political Action Committee,Rep. Julie Fedorchak,2025-03-26,1000.00
