organization,pacs,honoree,date,amount_usd
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Richard Neal,2025-05-21,1000.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Richard Neal,2025-03-26,5000.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Richard Neal,2025-01-24,1000.00
"TD BANK, NA",TD Bank N.A. Political Action Committee,Richard Neal,2025-04-14,2500.00
"AMERICAN COLLEGE OF PHYSICIAN SERVICES, INC.",ACP Services PAC,Richard Neal,2025-05-07,2500.00
"AMERICAN COLLEGE OF PHYSICIAN SERVICES, INC.",ACP Services PAC,Neal Dunn,2025-02-26,2500.00
QUEST DIAGNOSTICS INCORPORATED,QUEST DIAGNOSTICS INCORPORATED PAC (QuestPAC) C00329185,Neal Dunn FL-2 US House,2025-06-17,2500.00
FORBES-TATE,,Richard Neal,2025-02-18,2500.00
LUNDBECK LLC,Lundbeck LLC Employee Political Action Committee,Neal Dunn,2025-03-06,1000.00
FORBES-TATE,,Richard Neal,2025-05-14,5000.00
"CASSIDY & ASSOCIATES, INC.",,Richard Neal,2025-02-26,1500.00
"CASSIDY & ASSOCIATES, INC.",,Richard Neal,2025-03-15,1000.00
"CASSIDY & ASSOCIATES, INC.",,Richard Neal,2025-04-09,1500.00
"CASSIDY & ASSOCIATES, INC.",,Richard Neal,2025-05-14,1000.00
"OWENS & MINOR, INC.","Owens & Minor, Inc. Political Action Committee",Neal Dunn,2025-02-27,5000.00
"ARDELYX, INC.","Ardelyx, Inc. Political Action Committee (ARDX PAC)",Rep. Ritchie Neal,2025-04-10,1000.00
"ARDELYX, INC.","Ardelyx, Inc. Political Action Committee (ARDX PAC)",Rep. Neal Dunn,2025-04-28,1000.00
BLACK & VEATCH,Black & Veatch PAC,Rep. Richard Neal,2025-02-11,2000.00
BLACK & VEATCH,Black & Veatch PAC,Rep. Richard Neal,2025-03-31,2500.00
"GENENTECH, INC",Genentech Inc. Political Action Committee (GenenPAC),Rep. Richard Neal,2025-05-01,1000.00
AMERICAN RESORT DEVELOPMENT ASSN,AMERICAN RESORT DEVELOPMENT ASSOCIATION RESORT OWNERS COALITION PAC (ARDA-ROC PAC),Rep. Richard Neal,2025-04-30,5000.00
AMERICAN RESORT DEVELOPMENT ASSN,AMERICAN RESORT DEVELOPMENT ASSOCIATION RESORT OWNERS COALITION PAC (ARDA-ROC PAC),Rep. Richard Neal,2025-04-15,5000.00
AMERICAN MEDICAL ASSOCIATION,American Medical Association Political Action Committee,"2025 AMA Awards for Outstanding Government Service. Five honorees, two covered officials: U.S. Rep. Neal Dunn, MD, and Presidential Appointee Maj. Gen. (ret.) Paul Friedrichs, MD.",2025-02-11,188709.84
"AMERIPRISE FINANCIAL, INC.",Ameriprise Financial Political Action Committee,Congressman Richard Neal,2025-05-27,2500.00
"TAKEDA PHARMACEUTICALS AMERICA, INC.",TAKEDA PHARMACEUTICALS AMERICA INC. PAC (C00441733),Richard Neal MA-1 US House,2025-06-05,5000.00
AMERICAN COUNCIL OF LIFE INSURERS,American Council of Life Insurers PAC,"Neal, Richard",2025-03-10,2500.00
AMERICAN COUNCIL OF LIFE INSURERS,American Council of Life Insurers PAC,"Neal, Richard",2025-02-24,5000.00
AMERICAN COUNCIL OF LIFE INSURERS,American Council of Life Insurers PAC,"Neal, Richard",2025-01-31,2500.00
"K&L GATES, LLP",,Congressman Richard Neal,2025-03-12,5000.00
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION,National Community Pharmacists Association - PAC,Rep. Neal Dunn,2025-02-05,2500.00
AFLAC INCORPORATED,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),Rep. Richard Neal,2025-03-20,5000.00
THE D MAJOR GROUP,,Rep. Neal Dunn (R-FL),2025-06-26,500.00
GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,The Guardian Life Insurance Company of America Political Action Committee Federal Guardian Life P,Rep Richard E Neal,2025-02-10,5000.00
GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,The Guardian Life Insurance Company of America Political Action Committee Federal Guardian Life P,Rep Richard E Neal,2025-03-07,5000.00
MASSACHUSETTS BIOTECHNOLOGY COUNCIL,,Congressman Richard Neal,2025-04-09,2000.00
AKIN GUMP STRAUSS HAUER & FELD,Texans for Lamar Smith,Richard Neal,2025-03-28,1000.00
"TYSON FOODS, INC",Tyson Foods Inc Political Action Committee (TYPAC),Richard Neal,2025-05-16,1000.00
JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A),John Hancock Life Insurance Company (USA) Federal PAC,Representative Richard E. Neal,2025-03-08,1000.00
FOLEY & LARDNER LLP,"Foley & Lardner Political Fund, Inc.",Neal Patrick Dunn,2025-02-21,1000.00
FOLEY & LARDNER LLP,"Foley & Lardner Political Fund, Inc.",Richard E. Neal,2025-05-02,2500.00
FOLEY & LARDNER LLP,"Foley & Lardner Political Fund, Inc.",Neal Patrick Dunn,2025-06-24,1000.00
"MEDTRONIC, INC.",Medtronic Inc. PAC,Richard Neal,2025-03-25,5000.00
"MEDTRONIC, INC.",Medtronic Inc. PAC,Richard Neal,2025-06-25,2500.00
"CONSTELLATION ENERGY GENERATION, LLC",Constellation Energy Corporation Employee Political Action Committee (CEPAC),Rep. Neal Dunn,2025-03-21,1000.00
"KOUNTOUPES DENHAM CARR & REID, LLC",,Rep. Neal Dunn,2025-06-27,250.00
S-3 GROUP,,Neal Dunn,2025-03-10,500.00
NATIONAL COTTON COUNCIL,National Cotton Council Committee for the Advancement of Cotton,US Representative Richard Neal,2025-04-22,5000.00
"ABBVIE, INC.",AbbVie Political Action Committee,Rep. Neal Dunn,2025-04-24,1000.00
"ABBVIE, INC.",AbbVie Political Action Committee,Rep. Richard Neal,2025-04-24,2500.00
ARENTFOX SCHIFF LLP,,Neal Dunn,2025-05-19,500.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Richard Neal,2025-06-11,2500.00
AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION,RADPAC,REP. NEAL DUNN,2025-03-27,1500.00
AMERICAN LAND TITLE ASSOCIATION,American Land Title Association Title Industry PAC (TIPAC),Rep. Richard Neal,2025-03-13,5000.00
SOUTHWEST AIRLINES,Southwest Airlines Co. Political Action Committee,Rep. Richard Neal (D-MA),2025-03-28,5000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Richard Neal,2025-05-30,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Richard Neal,2025-05-30,2000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Neal Dunn,2025-06-18,2500.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Richard Neal,2025-06-24,1000.00
NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS,NAIFAPAC,"Neal, Richard",2025-03-25,5000.00
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,Laborers International Union of North America (LIUNA PAC),"Neal, Richard",2025-04-24,2500.00
DELL TECHNOLOGIES INC.,"Dell Technologies, Inc. Political Action Committee",Rep. Richard Neal,2025-06-18,2500.00
DELL TECHNOLOGIES INC.,"Dell Technologies, Inc. Political Action Committee",Rep. Richard Neal,2025-03-16,2500.00
"CAPITOL TAX PARTNERS, LLP",,Richard Neal,2025-05-19,1000.00
"CAPITOL TAX PARTNERS, LLP",,Richard Neal,2025-01-13,500.00
"RBC CAPITAL MARKETS, LLC",RBC USA Holdco Corporation Federal PAC,Rep. Richard Neal,2025-05-06,2500.00
"RBC CAPITAL MARKETS, LLC",RBC USA Holdco Corporation Federal PAC,Rep. Richard Neal,2025-06-20,2500.00
ALSTON & BIRD LLP,Alston & Bird PAC,Rep. Neal Dunn,2025-06-09,1500.00
MCKESSON CORPORATION & AFFILIATES U.S. ONCOLOGY AND RX SAVINGS SOLUTIONS (FORMERLY MCKESSON CORP),McKesson Corporation Employees Political Fund; US Oncology Inc. Network Political Action Committee,Rep. Neal Dunn,2025-06-12,1000.00
KELLEY DRYE & WARREN LLP,Kelley Drye & Warren Political Action Committee,Rep. Neal Dunn,2025-06-23,1500.00
"MINDSET ADVOCACY, LLC",,Richard E. Neal,2025-05-21,500.00
AMERICAN HOTEL & LODGING ASSOCIATION,American Hotel and Lodging Association Political Action Committee HotelPAC,Rep Richard E Neal,2025-01-27,5000.00
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,IUPAT Political Action Together Political Committee,"Neal, Richard",2025-05-22,1000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,Rep. Neal Dunn (R-FL),2025-05-01,1500.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Neal Dunn,2025-06-25,2500.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Richard E Neal,2025-02-14,5000.00
"INVESCO HOLDING COMPANY (US), INC","INVESCO HOLDING COMPANY (US), INC.EMPLOYEE POLITICAL ACTION",Rep. Richard Neal (D),2025-06-04,2000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",BHFS-E PC PAC (Brownstein Hyatt Farber Schreck PAC),Rep. Richard Neal,2025-04-03,2000.00
"RESOLUTION PUBLIC AFFAIRS, LLC",,Rep. Richard Neal,2025-02-25,5000.00
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Ernst & Young Political Action Committee,Congressman Richard Neal,2025-06-04,5000.00
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Ernst & Young Political Action Committee,Congressman Richard Neal,2025-03-04,2500.00
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Ernst & Young Political Action Committee,Congressman Richard Neal,2025-05-19,2500.00
"PREMIER, INC.",PREMIER INC. EMPLOYEES' CIVIC ACTION FUND,Rep. Richard Neal,2025-03-11,5000.00
MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL PAC,REP. RICHARD E NEAL,2025-06-26,2500.00
