organization,pacs,honoree,date,amount_usd
NATIONAL ASSOCIATION OF CONVENIENCE STORES,National Association of Convenience Stores PAC,Sen. Susan Collins (R),2025-06-25,4000.00
THE COUNCIL OF INSURANCE AGENTS AND BROKERS,Council Of Insurance Agents & Brokers PAC,Collins for Senator,2025-02-25,5000.00
THE COOK GROUP INC.,Cook Group Inc PAC,Sen. Susan Collins (ME),2025-05-19,1000.00
"WSP USA (FKA AS PARSONS BRINCKERHOFF, INC.)",WSP USA INC. PAC,Sen. Susan Collins,2025-02-25,2500.00
"UBER TECHNOLOGIES, INC.",,Rep. Mike Collins,2025-06-22,500.00
JOSE FUENTES,,Mike Collins,2025-06-17,500.00
INTEL CORPORATION,Intel Corporation Political Action Committee,Susan Collins,2025-05-16,1000.00
"SYLVAMO NORTH AMERICA, LLC",Sylvamo Corporation PAC,Susan Collins,2025-03-28,2500.00
AMERICAN PHYSICAL THERAPY ASSOCIATION,American Physical Therapy Association Physical Therapy PAC,Senator Susan Collins,2025-03-11,1000.00
AMERICAN PHYSICAL THERAPY ASSOCIATION,American Physical Therapy Association Physical Therapy PAC,Senator Susan Collins,2025-05-14,1000.00
NATIONAL BEER WHOLESALERS ASSOCIATION,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE,Rep Mike Collins,2025-05-07,5000.00
"SBL STRATEGIES, LLC",,Mike Collins,2025-06-05,500.00
BGR GOVERNMENT AFFAIRS,,Collins Victory Committee,2025-03-24,3000.00
GENERAL MOTORS COMPANY,General Motors Company Political Action Committee (GM PAC),Sen. Susan Collins,2025-03-05,2500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Sen. Susan M. Collins,2025-04-14,2500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Rep. Mike Collins,2025-06-24,2500.00
LOWE'S COMPANIES INC.,"Lowe's Companies, Inc. Political Action Committee",Sen. Susan Collins,2025-06-16,5000.00
"EDWARD D. JONES & CO., L.P.",Edward Jones PAC,Sen. Susan Collins,2025-03-28,2500.00
AMERICAN INVESTMENT COUNCIL F/K/A PEGCC,American Investment Council Political Action Committee- AIC,"Collins, Susan",2025-06-23,5000.00
CHAMBER OF COMMERCE OF THE U.S.A.,U.S. Chamber PAC,Mike Collins,2025-06-02,1000.00
VAN SCOYOC ASSOCIATES,,Senator Susan Collins PAC,2025-05-20,1500.00
VAN SCOYOC ASSOCIATES,,Senator Susan Collins,2025-06-17,500.00
CENTENE CORPORATION,Centene Corporation Political Action Committee (Centene PAC),Susan Collins,2025-03-21,2500.00
CENTENE CORPORATION,Centene Corporation Political Action Committee (Centene PAC),Susan Collins,2025-04-17,1000.00
"ALASKA AIRLINES, INC.",Alaska Air Group PAC,Senator Susan Collins,2025-02-25,1000.00
"ALASKA AIRLINES, INC.",Alaska Air Group PAC,Senator Susan Collins,2025-06-17,1000.00
"ALASKA AIRLINES, INC.",Alaska Air Group PAC,Rep. Mike Collins,2025-06-17,1000.00
HUNTINGTON INGALLS INDUSTRIES INCORPORATED,"Huntington Ingalls Industries, Inc. Employees Political Action Committee (HIIPAC)",Susan Collins,2025-03-18,5000.00
HUNTINGTON INGALLS INDUSTRIES INCORPORATED,"Huntington Ingalls Industries, Inc. Employees Political Action Committee (HIIPAC)",Susan Collins,2025-06-18,2000.00
"ENTERGY SERVICES, LLC",Entergy Corporation PAC (ENPAC),Sen. Susan Collins,2025-04-28,2500.00
"ENTERGY SERVICES, LLC",Entergy Corporation PAC (ENPAC),Sen. Susan Collins,2025-06-18,2500.00
"DELTA AIR LINES, INC.",Delta Air Lines PAC,Sen. Susan Collins,2025-01-30,2500.00
UNITED SERVICES AUTOMOBILE ASSOCIATION,United Services Automobile Association Employee PAC - USAA EMPLOYEE PAC,Sen. Susan Collins,2025-04-22,2500.00
NATIONAL AUTOMOBILE DEALERS ASSOCIATION,National Automobile Dealers Association Political Action Committee,"Collins, Susan",2025-06-24,5000.00
AMERICAN NURSES ASSOCIATION,American Nurses Association PAC,Sen Susan Collins,2025-05-22,5000.00
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,The Northwestern Mutual Life Insurance Company Federal Political Action Committee,Sen. Susan Collins (R),2025-03-14,1000.00
S&P GLOBAL INC. (F/K/A MCGRAW HILL FINANCIAL INC.),S&P Global Inc. Political Action Committee,"Representatives Deb Fischer, Cindy Hyde-Smith, Cynthia Lummis, Katie Britt, Shelley Moore Capito, Susan Collins, Joni Ernst, Lisa Murkowski, Ashley Moody, Marsha Blackburn",2025-03-10,5000.00
VSP,VSP HOLDING COMPANY INC POLITICAL ACTION COMMITTEE,Sen. Susan Collins,2025-06-18,2500.00
THE AMERICAN WATERWAYS OPERATORS,American Waterways Operators PAC,Representative Mike Collins,2025-03-25,1000.00
SOLAR ENERGY INDUSTRIES ASSOCIATION,SOLAR ENERGY INDUSTRIES ASSOCIATION PAC (SOLARPAC),Susan M. Collins,2025-06-20,1000.00
ELI LILLY AND COMPANY,LillyPAC,Susan Collins,2025-03-11,2500.00
