county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Butts,not available,President,,Republican,Chris Christie,0,0,0,0
Butts,not available,President,,Republican,David Stuckenberg,0,0,0,0
Butts,not available,President,,Republican,Donald J. Trump,583,1660,26,0
Butts,not available,President,,Republican,Doug Burgum,0,0,0,0
Butts,not available,President,,Republican,Nikki Haley,13,177,5,0
Butts,not available,President,,Republican,Perry Johnson,0,0,0,0
Butts,not available,President,,Republican,Ron DeSantis,6,17,2,0
Butts,not available,President,,Republican,Ryan L. Binkley,0,1,0,0
Butts,not available,President,,Republican,Tim Scott,1,3,0,0
Butts,not available,President,,Republican,Vivek Ramaswamy,0,1,0,0
Calhoun,not available,President,,Democrat,Dean Phillips,2,2,0,0
Calhoun,not available,President,,Democrat,"Joseph R. Biden, Jr.",149,71,23,0
Calhoun,not available,President,,Democrat,Marianne Williamson,6,1,0,0
Calhoun,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Calhoun,not available,President,,Republican,Chris Christie,0,0,0,0
Calhoun,not available,President,,Republican,David Stuckenberg,0,0,0,0
Calhoun,not available,President,,Republican,Donald J. Trump,114,78,12,0
Calhoun,not available,President,,Republican,Doug Burgum,0,0,0,0
Calhoun,not available,President,,Republican,Nikki Haley,3,5,2,0
Calhoun,not available,President,,Republican,Perry Johnson,0,0,0,0
Calhoun,not available,President,,Republican,Ron DeSantis,1,1,0,0
Calhoun,not available,President,,Republican,Ryan L. Binkley,0,0,0,0
Calhoun,not available,President,,Republican,Tim Scott,1,0,0,0
Calhoun,not available,President,,Republican,Vivek Ramaswamy,0,0,0,0
Camden,not available,President,,Democrat,Dean Phillips,11,12,1,0
Camden,not available,President,,Democrat,"Joseph R. Biden, Jr.",360,549,120,1
Camden,not available,President,,Democrat,Marianne Williamson,10,16,1,0
Camden,not available,President,,Republican,Asa Hutchinson,2,0,0,0
Camden,not available,President,,Republican,Chris Christie,2,6,0,0
Camden,not available,President,,Republican,David Stuckenberg,1,1,0,0
Camden,not available,President,,Republican,Donald J. Trump,1621,1844,51,1
Camden,not available,President,,Republican,Doug Burgum,2,0,0,0
Camden,not available,President,,Republican,Nikki Haley,93,304,26,0
Camden,not available,President,,Republican,Perry Johnson,0,0,0,0
Camden,not available,President,,Republican,Ron DeSantis,27,34,0,0
Camden,not available,President,,Republican,Ryan L. Binkley,1,0,0,0
Camden,not available,President,,Republican,Tim Scott,3,1,0,0
Camden,not available,President,,Republican,Vivek Ramaswamy,3,3,0,0
Candler,not available,President,,Democrat,Dean Phillips,3,1,0,0
Candler,not available,President,,Democrat,"Joseph R. Biden, Jr.",40,75,7,0
Candler,not available,President,,Democrat,Marianne Williamson,0,1,0,0
Candler,not available,President,,Republican,Asa Hutchinson,0,1,0,0
