county,precinct,office,district,party,candidate,votes
Washoe,RENO-VERDI 4009,Lieutenant Governor,,NPP,"Delap, John ""Trey""",12
Washoe,RENO-VERDI 4009,"University Board of Regents, District 11",,,"Downs, Jeffrey",213
Washoe,RENO-VERDI 4009,"Reno City Council, Ward 4",,,"Ebert, Meghan",185
Washoe,RENO-VERDI 4009,State Treasurer,,LIB,"Elliott, Bryan",12
Washoe,RENO-VERDI 4009,State Treasurer,,REP,"Fiore, Michele",204
Washoe,RENO-VERDI 4009,Attorney General,,DEM,"Ford, Aaron D.",282
Washoe,RENO-VERDI 4009,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",121
Washoe,RENO-VERDI 4009,County Clerk,,,"Galassini, Jan",355
Washoe,RENO-VERDI 4009,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",293
Washoe,RENO-VERDI 4009,"Reno-Verdi, Justice of the Peace, Department 2",,,"Hahn, Bruce",172
Washoe,RENO-VERDI 4009,Reno City Attorney,,,"Hall, Karl S.",347
Washoe,RENO-VERDI 4009,Secretary of State,,IAP,"Hansen, Janine",11
Washoe,RENO-VERDI 4009,"Reno Municipal Court Judge, Department 4",,,"Hazlett-Stevens, Christopher",179
Washoe,RENO-VERDI 4009,State Treasurer,,IAP,"Hendrickson, Margaret",15
Washoe,RENO-VERDI 4009,"County Commission, District 5",,,"Herman, Jeanne",230
Washoe,RENO-VERDI 4009,County District Attorney,,,"Hicks, Christopher",361
Washoe,RENO-VERDI 4009,Lieutenant Governor,,IAP,"Hoge, William",11
Washoe,RENO-VERDI 4009,County Assessor,,,"Jauregui-Jackins, Wendy",266
Washoe,RENO-VERDI 4009,County Public Administrator,,,"Klitzke, Nicole",229
Washoe,RENO-VERDI 4009,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",259
Washoe,RENO-VERDI 4009,"University Board of Regents, District 11",,,"Laden, Steve",147
Washoe,RENO-VERDI 4009,U.S. Senate,,REP,"Laxalt, Adam Paul",212
Washoe,RENO-VERDI 4009,U.S. Senate,,NPP,"Lindemann, Barry",4
Washoe,RENO-VERDI 4009,Governor,,REP,"Lombardo, Joe",208
Washoe,RENO-VERDI 4009,Reno Mayor,,,"Lorton, George ""Eddie""",203
Washoe,RENO-VERDI 4009,"County Commission, District 5",,,"Lyngar, Edwin",267
Washoe,RENO-VERDI 4009,Secretary of State,,REP,"Marchant, Jim",203
Washoe,RENO-VERDI 4009,State Controller,,REP,"Matthews, Andy",219
Washoe,RENO-VERDI 4009,"Court of Appeals Judge, Department 1",,,None Of These Candidates,106
Washoe,RENO-VERDI 4009,Secretary of State,,,None Of These Candidates,12
Washoe,RENO-VERDI 4009,Attorney General,,,None Of These Candidates,23
Washoe,RENO-VERDI 4009,"Supreme Court Justice, Seat A",,,None Of These Candidates,113
Washoe,RENO-VERDI 4009,State Controller,,,None Of These Candidates,17
Washoe,RENO-VERDI 4009,Lieutenant Governor,,,None Of These Candidates,15
Washoe,RENO-VERDI 4009,U.S. Senate,,,None Of These Candidates,10
Washoe,RENO-VERDI 4009,"Court of Appeals Judge, Department 2",,,None Of These Candidates,118
Washoe,RENO-VERDI 4009,Governor,,,None Of These Candidates,14
Washoe,RENO-VERDI 4009,"Supreme Court Justice, Seat E",,,None Of These Candidates,118
Washoe,RENO-VERDI 4009,"Court of Appeals Judge, Department 3",,,None Of These Candidates,120
Washoe,RENO-VERDI 4009,State Treasurer,,,None Of These Candidates,20
Washoe,RENO-VERDI 4009,"Reno Municipal Court Judge, Department 2",,,"O'Neill, Shelly",325
Washoe,RENO-VERDI 4009,State Assembly,27,REP,"Ortiz, Carmen L.",224
Washoe,RENO-VERDI 4009,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",304
Washoe,RENO-VERDI 4009,"Reno-Verdi, Justice of the Peace, Department 4",,,"Pearson, Scott",337
Washoe,RENO-VERDI 4009,State Controller,,LIB,"Profeta, Jed W.",16
Washoe,RENO-VERDI 4009,U.S. Senate,,IAP,"RUBINSON, BARRY",4
Washoe,RENO-VERDI 4009,County Assessor,,,"Sarman, Chris",231
Washoe,RENO-VERDI 4009,Reno Mayor,,,"Schieve, Hillary",252
Washoe,RENO-VERDI 4009,U.S. Senate,,LIB,"Scott, Neil",5
Washoe,RENO-VERDI 4009,"Reno Municipal Court Judge, Department 3",,,"Sferrazza, Pete",177
Washoe,RENO-VERDI 4009,Governor,,DEM,"SISOLAK, Steve",279
Washoe,RENO-VERDI 4009,"Reno Municipal Court Judge, Department 4",,,"SOTELO, HENRY N.",174
Washoe,RENO-VERDI 4009,State Controller,,DEM,"Spiegel, Ellen",256
Washoe,RENO-VERDI 4009,County Public Administrator,,,"Stewart, Molly",262
Washoe,RENO-VERDI 4009,"Reno-Verdi, Justice of the Peace, Department 3",,,"Sullivan, Ryan Katherine",327
Washoe,RENO-VERDI 4009,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",4
Washoe,RENO-VERDI 4009,State Assembly,27,DEM,"Taylor, Angela",275
Washoe,RENO-VERDI 4009,County Treasurer,,,"Taylor, Justin",352
Washoe,RENO-VERDI 4009,"Reno City Council, Ward 4",,,"Weber, Bonnie",234
Washoe,RENO-VERDI 4009,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",207
Washoe,RENO-VERDI 4009,County Recorder,,,"Work, Kalie",348
Washoe,RENO-VERDI 4012,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",568
Washoe,RENO-VERDI 4012,U.S. House,2,REP,"Amodei, Mark E.",300
Washoe,RENO-VERDI 4012,Lieutenant Governor,,REP,"Anthony, Stavros",266
Washoe,RENO-VERDI 4012,U.S. House,2,LIB,"Baber, Darryl",8
Washoe,RENO-VERDI 4012,County Sheriff,,,"Balaam, Darin",524
Washoe,RENO-VERDI 4012,"Supreme Court Justice, Seat A",,,"Bell, Linda",492
Washoe,RENO-VERDI 4012,"Reno-Verdi, Justice of the Peace, Department 2",,,"Bertschy, Kendra",428
Washoe,RENO-VERDI 4012,U.S. House,2,IAP,"Best, Russell",9
Washoe,RENO-VERDI 4012,Governor,,IAP,"Bridges, Ed",4
Washoe,RENO-VERDI 4012,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",474
Washoe,RENO-VERDI 4012,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",533
Washoe,RENO-VERDI 4012,"Reno Municipal Court Judge, Department 3",,,"Champagne, Justin",374
Washoe,RENO-VERDI 4012,Attorney General,,REP,"Chattah, Sigal",237
Washoe,RENO-VERDI 4012,"Reno-Verdi, Justice of the Peace, Department 5",,,"Clifton, David W.",488
Washoe,RENO-VERDI 4012,State Treasurer,,DEM,"Conine, Zach",536
Washoe,RENO-VERDI 4012,U.S. Senate,,DEM,"Cortez Masto, Catherine",580
Washoe,RENO-VERDI 4012,Secretary of State,,LIB,"Crane, Ross",6
Washoe,RENO-VERDI 4012,Governor,,LIB,"Davis, Brandon",15
Washoe,RENO-VERDI 4012,Lieutenant Governor,,NPP,"Delap, John ""Trey""",4
Washoe,RENO-VERDI 4012,"University Board of Regents, District 11",,,"Downs, Jeffrey",304
Washoe,RENO-VERDI 4012,"Reno City Council, Ward 4",,,"Ebert, Meghan",375
Washoe,RENO-VERDI 4012,State Treasurer,,LIB,"Elliott, Bryan",11
Washoe,RENO-VERDI 4012,State Treasurer,,REP,"Fiore, Michele",260
Washoe,RENO-VERDI 4012,Attorney General,,DEM,"Ford, Aaron D.",574
Washoe,RENO-VERDI 4012,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",179
Washoe,RENO-VERDI 4012,County Clerk,,,"Galassini, Jan",490
Washoe,RENO-VERDI 4012,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",455
Washoe,RENO-VERDI 4012,"Reno-Verdi, Justice of the Peace, Department 2",,,"Hahn, Bruce",198
Washoe,RENO-VERDI 4012,Reno City Attorney,,,"Hall, Karl S.",505
Washoe,RENO-VERDI 4012,Secretary of State,,IAP,"Hansen, Janine",15
Washoe,RENO-VERDI 4012,"Reno Municipal Court Judge, Department 4",,,"Hazlett-Stevens, Christopher",277
Washoe,RENO-VERDI 4012,State Treasurer,,IAP,"Hendrickson, Margaret",18
Washoe,RENO-VERDI 4012,"County Commission, District 5",,,"Herman, Jeanne",301
Washoe,RENO-VERDI 4012,County District Attorney,,,"Hicks, Christopher",494
Washoe,RENO-VERDI 4012,Lieutenant Governor,,IAP,"Hoge, William",15
Washoe,RENO-VERDI 4012,County Assessor,,,"Jauregui-Jackins, Wendy",543
Washoe,RENO-VERDI 4012,County Public Administrator,,,"Klitzke, Nicole",306
Washoe,RENO-VERDI 4012,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",539
Washoe,RENO-VERDI 4012,"University Board of Regents, District 11",,,"Laden, Steve",274
Washoe,RENO-VERDI 4012,U.S. Senate,,REP,"Laxalt, Adam Paul",267
Washoe,RENO-VERDI 4012,U.S. Senate,,NPP,"Lindemann, Barry",6
Washoe,RENO-VERDI 4012,Governor,,REP,"Lombardo, Joe",276
Washoe,RENO-VERDI 4012,Reno Mayor,,,"Lorton, George ""Eddie""",238
Washoe,RENO-VERDI 4012,"County Commission, District 5",,,"Lyngar, Edwin",534
Washoe,RENO-VERDI 4012,Secretary of State,,REP,"Marchant, Jim",249
Washoe,RENO-VERDI 4012,State Controller,,REP,"Matthews, Andy",292
Washoe,RENO-VERDI 4012,State Controller,,,None Of These Candidates,18
Washoe,RENO-VERDI 4012,U.S. Senate,,,None Of These Candidates,13
Washoe,RENO-VERDI 4012,"Court of Appeals Judge, Department 1",,,None Of These Candidates,168
Washoe,RENO-VERDI 4012,Lieutenant Governor,,,None Of These Candidates,23
Washoe,RENO-VERDI 4012,"Supreme Court Justice, Seat A",,,None Of These Candidates,152
Washoe,RENO-VERDI 4012,Attorney General,,,None Of These Candidates,20
Washoe,RENO-VERDI 4012,Secretary of State,,,None Of These Candidates,17
Washoe,RENO-VERDI 4012,"Court of Appeals Judge, Department 2",,,None Of These Candidates,179
Washoe,RENO-VERDI 4012,Governor,,,None Of These Candidates,11
Washoe,RENO-VERDI 4012,"Court of Appeals Judge, Department 3",,,None Of These Candidates,155
Washoe,RENO-VERDI 4012,State Treasurer,,,None Of These Candidates,24
Washoe,RENO-VERDI 4012,"Supreme Court Justice, Seat E",,,None Of These Candidates,169
Washoe,RENO-VERDI 4012,"Reno Municipal Court Judge, Department 2",,,"O'Neill, Shelly",504
Washoe,RENO-VERDI 4012,State Assembly,27,REP,"Ortiz, Carmen L.",277
Washoe,RENO-VERDI 4012,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",467
Washoe,RENO-VERDI 4012,"Reno-Verdi, Justice of the Peace, Department 4",,,"Pearson, Scott",495
Washoe,RENO-VERDI 4012,State Controller,,LIB,"Profeta, Jed W.",12
Washoe,RENO-VERDI 4012,U.S. Senate,,IAP,"RUBINSON, BARRY",5
Washoe,RENO-VERDI 4012,County Assessor,,,"Sarman, Chris",286
Washoe,RENO-VERDI 4012,Reno Mayor,,,"Schieve, Hillary",521
Washoe,RENO-VERDI 4012,U.S. Senate,,LIB,"Scott, Neil",4
Washoe,RENO-VERDI 4012,"Reno Municipal Court Judge, Department 3",,,"Sferrazza, Pete",257
Washoe,RENO-VERDI 4012,Governor,,DEM,"SISOLAK, Steve",564
Washoe,RENO-VERDI 4012,"Reno Municipal Court Judge, Department 4",,,"SOTELO, HENRY N.",319
Washoe,RENO-VERDI 4012,State Controller,,DEM,"Spiegel, Ellen",521
Washoe,RENO-VERDI 4012,County Public Administrator,,,"Stewart, Molly",525
Washoe,RENO-VERDI 4012,"Reno-Verdi, Justice of the Peace, Department 3",,,"Sullivan, Ryan Katherine",485
Washoe,RENO-VERDI 4012,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",10
Washoe,RENO-VERDI 4012,State Assembly,27,DEM,"Taylor, Angela",561
Washoe,RENO-VERDI 4012,County Treasurer,,,"Taylor, Justin",496
Washoe,RENO-VERDI 4012,"Reno City Council, Ward 4",,,"Weber, Bonnie",295
Washoe,RENO-VERDI 4012,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",331
Washoe,RENO-VERDI 4012,County Recorder,,,"Work, Kalie",627
Washoe,RENO-VERDI 4014,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",320
Washoe,RENO-VERDI 4014,U.S. House,2,REP,"Amodei, Mark E.",273
Washoe,RENO-VERDI 4014,Lieutenant Governor,,REP,"Anthony, Stavros",246
Washoe,RENO-VERDI 4014,U.S. House,2,LIB,"Baber, Darryl",16
Washoe,RENO-VERDI 4014,County Sheriff,,,"Balaam, Darin",427
Washoe,RENO-VERDI 4014,"Supreme Court Justice, Seat A",,,"Bell, Linda",360
Washoe,RENO-VERDI 4014,"Reno-Verdi, Justice of the Peace, Department 2",,,"Bertschy, Kendra",261
Washoe,RENO-VERDI 4014,U.S. House,2,IAP,"Best, Russell",9
Washoe,RENO-VERDI 4014,Governor,,IAP,"Bridges, Ed",10
Washoe,RENO-VERDI 4014,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",351
Washoe,RENO-VERDI 4014,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",297
Washoe,RENO-VERDI 4014,"Reno Municipal Court Judge, Department 3",,,"Champagne, Justin",248
Washoe,RENO-VERDI 4014,Attorney General,,REP,"Chattah, Sigal",209
Washoe,RENO-VERDI 4014,"Reno-Verdi, Justice of the Peace, Department 5",,,"Clifton, David W.",397
Washoe,RENO-VERDI 4014,State Treasurer,,DEM,"Conine, Zach",300
Washoe,RENO-VERDI 4014,U.S. Senate,,DEM,"Cortez Masto, Catherine",319
Washoe,RENO-VERDI 4014,Secretary of State,,LIB,"Crane, Ross",7
Washoe,RENO-VERDI 4014,Governor,,LIB,"Davis, Brandon",17
Washoe,RENO-VERDI 4014,Lieutenant Governor,,NPP,"Delap, John ""Trey""",13
Washoe,RENO-VERDI 4014,"University Board of Regents, District 11",,,"Downs, Jeffrey",240
Washoe,RENO-VERDI 4014,"Reno City Council, Ward 4",,,"Ebert, Meghan",240
Washoe,RENO-VERDI 4014,State Treasurer,,LIB,"Elliott, Bryan",11
Washoe,RENO-VERDI 4014,State Treasurer,,REP,"Fiore, Michele",243
Washoe,RENO-VERDI 4014,Attorney General,,DEM,"Ford, Aaron D.",340
Washoe,RENO-VERDI 4014,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",129
Washoe,RENO-VERDI 4014,County Clerk,,,"Galassini, Jan",407
Washoe,RENO-VERDI 4014,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",365
Washoe,RENO-VERDI 4014,"Reno-Verdi, Justice of the Peace, Department 2",,,"Hahn, Bruce",211
Washoe,RENO-VERDI 4014,Reno City Attorney,,,"Hall, Karl S.",403
Washoe,RENO-VERDI 4014,Secretary of State,,IAP,"Hansen, Janine",19
Washoe,RENO-VERDI 4014,"Reno Municipal Court Judge, Department 4",,,"Hazlett-Stevens, Christopher",206
Washoe,RENO-VERDI 4014,State Treasurer,,IAP,"Hendrickson, Margaret",13
Washoe,RENO-VERDI 4014,"County Commission, District 5",,,"Herman, Jeanne",275
Washoe,RENO-VERDI 4014,County District Attorney,,,"Hicks, Christopher",414
Washoe,RENO-VERDI 4014,Lieutenant Governor,,IAP,"Hoge, William",9
Washoe,RENO-VERDI 4014,County Assessor,,,"Jauregui-Jackins, Wendy",312
Washoe,RENO-VERDI 4014,County Public Administrator,,,"Klitzke, Nicole",271
Washoe,RENO-VERDI 4014,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",287
Washoe,RENO-VERDI 4014,"University Board of Regents, District 11",,,"Laden, Steve",200
Washoe,RENO-VERDI 4014,U.S. Senate,,REP,"Laxalt, Adam Paul",252
Washoe,RENO-VERDI 4014,U.S. Senate,,NPP,"Lindemann, Barry",3
Washoe,RENO-VERDI 4014,Governor,,REP,"Lombardo, Joe",247
Washoe,RENO-VERDI 4014,Reno Mayor,,,"Lorton, George ""Eddie""",240
Washoe,RENO-VERDI 4014,"County Commission, District 5",,,"Lyngar, Edwin",303
Washoe,RENO-VERDI 4014,Secretary of State,,REP,"Marchant, Jim",231
Washoe,RENO-VERDI 4014,State Controller,,REP,"Matthews, Andy",260
Washoe,RENO-VERDI 4014,Lieutenant Governor,,,None Of These Candidates,11
Washoe,RENO-VERDI 4014,U.S. Senate,,,None Of These Candidates,6
Washoe,RENO-VERDI 4014,State Controller,,,None Of These Candidates,17
Washoe,RENO-VERDI 4014,Attorney General,,,None Of These Candidates,11
Washoe,RENO-VERDI 4014,"Court of Appeals Judge, Department 1",,,None Of These Candidates,127
Washoe,RENO-VERDI 4014,"Supreme Court Justice, Seat A",,,None Of These Candidates,125
Washoe,RENO-VERDI 4014,Governor,,,None Of These Candidates,12
Washoe,RENO-VERDI 4014,Secretary of State,,,None Of These Candidates,13
Washoe,RENO-VERDI 4014,"Supreme Court Justice, Seat E",,,None Of These Candidates,124
Washoe,RENO-VERDI 4014,"Court of Appeals Judge, Department 2",,,None Of These Candidates,114
Washoe,RENO-VERDI 4014,State Treasurer,,,None Of These Candidates,20
Washoe,RENO-VERDI 4014,"Court of Appeals Judge, Department 3",,,None Of These Candidates,119
Washoe,RENO-VERDI 4014,"Reno Municipal Court Judge, Department 2",,,"O'Neill, Shelly",398
Washoe,RENO-VERDI 4014,State Assembly,27,REP,"Ortiz, Carmen L.",260
Washoe,RENO-VERDI 4014,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",360
Washoe,RENO-VERDI 4014,"Reno-Verdi, Justice of the Peace, Department 4",,,"Pearson, Scott",395
Washoe,RENO-VERDI 4014,State Controller,,LIB,"Profeta, Jed W.",17
Washoe,RENO-VERDI 4014,U.S. Senate,,IAP,"RUBINSON, BARRY",7
Washoe,RENO-VERDI 4014,County Assessor,,,"Sarman, Chris",267
Washoe,RENO-VERDI 4014,Reno Mayor,,,"Schieve, Hillary",309
Washoe,RENO-VERDI 4014,U.S. Senate,,LIB,"Scott, Neil",6
Washoe,RENO-VERDI 4014,"Reno Municipal Court Judge, Department 3",,,"Sferrazza, Pete",233
Washoe,RENO-VERDI 4014,Governor,,DEM,"SISOLAK, Steve",308
Washoe,RENO-VERDI 4014,"Reno Municipal Court Judge, Department 4",,,"SOTELO, HENRY N.",223
Washoe,RENO-VERDI 4014,State Controller,,DEM,"Spiegel, Ellen",294
Washoe,RENO-VERDI 4014,County Public Administrator,,,"Stewart, Molly",307
Washoe,RENO-VERDI 4014,"Reno-Verdi, Justice of the Peace, Department 3",,,"Sullivan, Ryan Katherine",389
Washoe,RENO-VERDI 4014,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",13
Washoe,RENO-VERDI 4014,State Assembly,27,DEM,"Taylor, Angela",318
Washoe,RENO-VERDI 4014,County Treasurer,,,"Taylor, Justin",413
Washoe,RENO-VERDI 4014,"Reno City Council, Ward 4",,,"Weber, Bonnie",276
Washoe,RENO-VERDI 4014,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",248
Washoe,RENO-VERDI 4014,County Recorder,,,"Work, Kalie",422
Washoe,RENO-VERDI 4015,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",*
Washoe,RENO-VERDI 4015,U.S. House,2,REP,"Amodei, Mark E.",*
Washoe,RENO-VERDI 4015,Lieutenant Governor,,REP,"Anthony, Stavros",*
Washoe,RENO-VERDI 4015,U.S. House,2,LIB,"Baber, Darryl",*
Washoe,RENO-VERDI 4015,County Sheriff,,,"Balaam, Darin",*
Washoe,RENO-VERDI 4015,"Supreme Court Justice, Seat A",,,"Bell, Linda",*
Washoe,RENO-VERDI 4015,"Reno-Verdi, Justice of the Peace, Department 2",,,"Bertschy, Kendra",*
Washoe,RENO-VERDI 4015,U.S. House,2,IAP,"Best, Russell",*
Washoe,RENO-VERDI 4015,Governor,,IAP,"Bridges, Ed",*
Washoe,RENO-VERDI 4015,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",*
Washoe,RENO-VERDI 4015,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",*
Washoe,RENO-VERDI 4015,"Reno Municipal Court Judge, Department 3",,,"Champagne, Justin",*
Washoe,RENO-VERDI 4015,Attorney General,,REP,"Chattah, Sigal",*
Washoe,RENO-VERDI 4015,"Reno-Verdi, Justice of the Peace, Department 5",,,"Clifton, David W.",*
Washoe,RENO-VERDI 4015,State Treasurer,,DEM,"Conine, Zach",*
Washoe,RENO-VERDI 4015,U.S. Senate,,DEM,"Cortez Masto, Catherine",*
Washoe,RENO-VERDI 4015,Secretary of State,,LIB,"Crane, Ross",*
Washoe,RENO-VERDI 4015,Governor,,LIB,"Davis, Brandon",*
Washoe,RENO-VERDI 4015,Lieutenant Governor,,NPP,"Delap, John ""Trey""",*
Washoe,RENO-VERDI 4015,"University Board of Regents, District 11",,,"Downs, Jeffrey",*
Washoe,RENO-VERDI 4015,"Reno City Council, Ward 4",,,"Ebert, Meghan",*
Washoe,RENO-VERDI 4015,State Treasurer,,LIB,"Elliott, Bryan",*
Washoe,RENO-VERDI 4015,State Treasurer,,REP,"Fiore, Michele",*
Washoe,RENO-VERDI 4015,Attorney General,,DEM,"Ford, Aaron D.",*
Washoe,RENO-VERDI 4015,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",*
Washoe,RENO-VERDI 4015,County Clerk,,,"Galassini, Jan",*
Washoe,RENO-VERDI 4015,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",*
Washoe,RENO-VERDI 4015,"Reno-Verdi, Justice of the Peace, Department 2",,,"Hahn, Bruce",*
Washoe,RENO-VERDI 4015,Reno City Attorney,,,"Hall, Karl S.",*
Washoe,RENO-VERDI 4015,State Assembly,32,REP,"Hansen, Alexis M.",*
Washoe,RENO-VERDI 4015,State Senate,14,REP,"Hansen, Ira",*
Washoe,RENO-VERDI 4015,Secretary of State,,IAP,"Hansen, Janine",*
Washoe,RENO-VERDI 4015,"Reno Municipal Court Judge, Department 4",,,"Hazlett-Stevens, Christopher",*
Washoe,RENO-VERDI 4015,State Treasurer,,IAP,"Hendrickson, Margaret",*
Washoe,RENO-VERDI 4015,"County Commission, District 5",,,"Herman, Jeanne",*
Washoe,RENO-VERDI 4015,County District Attorney,,,"Hicks, Christopher",*
Washoe,RENO-VERDI 4015,Lieutenant Governor,,IAP,"Hoge, William",*
Washoe,RENO-VERDI 4015,County Assessor,,,"Jauregui-Jackins, Wendy",*
Washoe,RENO-VERDI 4015,County Public Administrator,,,"Klitzke, Nicole",*
Washoe,RENO-VERDI 4015,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",*
Washoe,RENO-VERDI 4015,"University Board of Regents, District 11",,,"Laden, Steve",*
Washoe,RENO-VERDI 4015,U.S. Senate,,REP,"Laxalt, Adam Paul",*
Washoe,RENO-VERDI 4015,U.S. Senate,,NPP,"Lindemann, Barry",*
Washoe,RENO-VERDI 4015,Governor,,REP,"Lombardo, Joe",*
Washoe,RENO-VERDI 4015,Reno Mayor,,,"Lorton, George ""Eddie""",*
Washoe,RENO-VERDI 4015,"County Commission, District 5",,,"Lyngar, Edwin",*
Washoe,RENO-VERDI 4015,Secretary of State,,REP,"Marchant, Jim",*
Washoe,RENO-VERDI 4015,State Controller,,REP,"Matthews, Andy",*
Washoe,RENO-VERDI 4015,Lieutenant Governor,,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,Attorney General,,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,U.S. Senate,,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,State Controller,,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,"Court of Appeals Judge, Department 1",,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,"Court of Appeals Judge, Department 2",,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,"Supreme Court Justice, Seat A",,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,Secretary of State,,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,State Treasurer,,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,"Court of Appeals Judge, Department 3",,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,Governor,,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,"Supreme Court Justice, Seat E",,,None Of These Candidates,*
Washoe,RENO-VERDI 4015,"Reno Municipal Court Judge, Department 2",,,"O'Neill, Shelly",*
Washoe,RENO-VERDI 4015,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",*
Washoe,RENO-VERDI 4015,"Reno-Verdi, Justice of the Peace, Department 4",,,"Pearson, Scott",*
Washoe,RENO-VERDI 4015,State Controller,,LIB,"Profeta, Jed W.",*
Washoe,RENO-VERDI 4015,"School Board Trustee, District C",,,"RODRIGUEZ, JOSEPH ""JOE""",*
Washoe,RENO-VERDI 4015,U.S. Senate,,IAP,"RUBINSON, BARRY",*
Washoe,RENO-VERDI 4015,County Assessor,,,"Sarman, Chris",*
Washoe,RENO-VERDI 4015,Reno Mayor,,,"Schieve, Hillary",*
Washoe,RENO-VERDI 4015,U.S. Senate,,LIB,"Scott, Neil",*
Washoe,RENO-VERDI 4015,"Reno Municipal Court Judge, Department 3",,,"Sferrazza, Pete",*
Washoe,RENO-VERDI 4015,Governor,,DEM,"SISOLAK, Steve",*
Washoe,RENO-VERDI 4015,"Reno Municipal Court Judge, Department 4",,,"SOTELO, HENRY N.",*
Washoe,RENO-VERDI 4015,State Controller,,DEM,"Spiegel, Ellen",*
Washoe,RENO-VERDI 4015,County Public Administrator,,,"Stewart, Molly",*
Washoe,RENO-VERDI 4015,"Reno-Verdi, Justice of the Peace, Department 3",,,"Sullivan, Ryan Katherine",*
Washoe,RENO-VERDI 4015,"School Board Trustee, District C",,,"Sutton, Melanie",*
Washoe,RENO-VERDI 4015,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",*
Washoe,RENO-VERDI 4015,County Treasurer,,,"Taylor, Justin",*
Washoe,RENO-VERDI 4015,"Reno City Council, Ward 4",,,"Weber, Bonnie",*
Washoe,RENO-VERDI 4015,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",*
Washoe,RENO-VERDI 4015,County Recorder,,,"Work, Kalie",*
Washoe,RENO-VERDI 4016,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",98
Washoe,RENO-VERDI 4016,U.S. House,2,REP,"Amodei, Mark E.",76
Washoe,RENO-VERDI 4016,Lieutenant Governor,,REP,"Anthony, Stavros",75
Washoe,RENO-VERDI 4016,U.S. House,2,LIB,"Baber, Darryl",3
Washoe,RENO-VERDI 4016,County Sheriff,,,"Balaam, Darin",122
Washoe,RENO-VERDI 4016,"Supreme Court Justice, Seat A",,,"Bell, Linda",96
Washoe,RENO-VERDI 4016,"Reno-Verdi, Justice of the Peace, Department 2",,,"Bertschy, Kendra",83
Washoe,RENO-VERDI 4016,U.S. House,2,IAP,"Best, Russell",3
Washoe,RENO-VERDI 4016,Governor,,IAP,"Bridges, Ed",3
Washoe,RENO-VERDI 4016,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",89
Washoe,RENO-VERDI 4016,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",96
Washoe,RENO-VERDI 4016,"Reno Municipal Court Judge, Department 3",,,"Champagne, Justin",82
Washoe,RENO-VERDI 4016,Attorney General,,REP,"Chattah, Sigal",72
Washoe,RENO-VERDI 4016,"Reno-Verdi, Justice of the Peace, Department 5",,,"Clifton, David W.",112
Washoe,RENO-VERDI 4016,State Treasurer,,DEM,"Conine, Zach",97
