town,ward,precinct,office,district,party,candidate,votes
Norwell,,2,State Senate,Plymouth and Norfolk,Democratic,Meg Wheeler,655
Norwood,,8,U.S. Senate,,Republican,Kevin J. O'Connor,98
Monroe,,1,U.S. House,1st,Democratic,Alex B. Morse,4
Oxford,,3,U.S. House,2nd,Democratic,All Others,2
Tyngsborough,,4,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",306
Malden,8,2,Governor's Council,6th,Democratic,All Others,1
Agawam,,3,State House,3rd Hampden,Democratic,All Others,2
Westport,,D,U.S. House,9th,Democratic,Blanks,73
Melrose,1,1,State House,32nd Middlesex,Special Democratic,Mathew Helman,17
Chelsea,2,3,State Senate,Middlesex and Suffolk,Democratic,Total Votes Cast,126
N. Andover,,4,U.S. Senate,,Republican,All Others,1
Scituate,,2,U.S. Senate,,Libertarian,Total Votes Cast,1
Needham,,E,Governor's Council,2nd,Democratic,Blanks,337
N. Brookfield,,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,All Others,2
Malden,1,1,Governor's Council,6th,Democratic,Helina Fontes,246
Boston,14,8,U.S. Senate,,Republican,Shiva Ayyadurai,3
Lawrence,D,3,U.S. House,3rd,Democratic,Blanks,118
Templeton,,B,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,Total Votes Cast,165
Woburn,2,2,U.S. Senate,,Republican,All Others,1
Greenfield,,8,U.S. Senate,,Republican,Blanks,0
Westport,,E,U.S. House,9th,Republican,Blanks,35
Woburn,4,1,U.S. House,5th,Republican,Caroline Colarusso,125
Westport,,C,U.S. House,9th,Republican,Blanks,29
Revere,5,2,Governor's Council,6th,Democratic,Terrence W. Kennedy,120
Newton,8,4,U.S. Senate,,Republican,Total Votes Cast,87
N. Attleborough,,6,State Senate,"Norfolk, Bristol and Middlesex",Republican,Blanks,31
Peabody,1,2,U.S. Senate,,Republican,Kevin J. O'Connor,112
Templeton,,C,U.S. House,2nd,Republican,Total Votes Cast,140
Chelsea,2,2,U.S. House,7th,Democratic,Ayanna S. Pressley,253
Brookline,,16,State House,10th Suffolk,Democratic,Edward F. Coppinger,722
Amherst,,2,U.S. Senate,,Republican,Kevin J. O'Connor,10
Lynn,3,2,U.S. House,6th,Democratic,Jamie M. Belsito,70
Franklin,,5,State House,10th Norfolk,Republican,Andrew M. Bissanti,24
Chelsea,3,2,U.S. Senate,,Democratic,Total Votes Cast,305
Barnstable,,12,Governor's Council,1st,Democratic,Blanks,172
Mansfield,,6,U.S. House,,Democratic,Blanks,32
Mashpee,,1,U.S. Senate,,Republican,Shiva Ayyadurai,61
Springfield,8,H,State House,9th Hampden,Democratic,Blanks,15
Amesbury,,6,U.S. Senate,,Libertarian,Blanks,0
Fall River,1,C,State House,7th Bristol,Democratic,Total Votes Cast,359
TOTALS,,,U.S. Senate,,Libertarian,Total Votes Cast,4871
Dudley,,1,State Senate,Worcester and Norfolk,Democratic,Christine Crean,11
Peabody,1,1,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Leominster,1,C,State Senate,Worcester and Middlesex,Democratic,All Others,0
Falmouth,,6,State Senate,Plymouth and Barnstable,Republican,"James R. McMahon, III",152
Pembroke,,3,State Senate,Plymouth and Barnstable,Special Republican,Jesse G. Brown,172
Cambridge,1,2,U.S. House,7th,Republican,All Others,8
Arlington,,15,U.S. House,5th,Republican,All Others,0
Winchester,,7,U.S. Senate,,Republican,Total Votes Cast,140
Milton,,9,State House,7th Norfolk,Democratic,All Others,2
Attleboro,3,A,U.S. Senate,,Republican,Shiva Ayyadurai,86
Amherst,,10,U.S. House,2nd,Republican,Blanks,3
Boston,16,5,U.S. House,8th,Democratic,All Others,1
Great Barrington,,D,U.S. Senate,,Republican,Total Votes Cast,30
Westfield,6,A,State House,4th Hampden,Republican,Dan Allie,187
N. Attleborough,,1,State House,14th Bristol,Democratic,Patrick Steven Reynolds,187
TOTALS,,,State House,8th Hampden,Democratic,Blanks,905
Swampscott,,3,State Senate,3rd Essex,Democratic,Brendan P. Crighton,500
Mashpee,,2,State House,3rd Barnstable,Republican,David T. Vieira,222
Needham,,G,U.S. House,,Democratic,Jake Auchincloss,212
Belmont,,7,U.S. Senate,,Republican,Blanks,2
Boston,13,4,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Melrose,3,2,U.S. Senate,,Libertarian,All Others,1
Haverhill,2,2,Governor's Council,5th,Democratic,Total Votes Cast,444
N. Attleborough,,2,U.S. Senate,,Republican,Total Votes Cast,153
Newton,1,1,State House,10th Middlesex,Democratic,Total Votes Cast,707
Canton,,6,U.S. Senate,,Democratic,All Others,1
Monson,,B,Governor's Council,7th,Democratic,Padraic Rafferty,167
Tyringham,,1,U.S. Senate,,Libertarian,Blanks,0
Lunenburg,,A,State Senate,Worcester and Middlesex,Republican,Total Votes Cast,180
Boston,7,9,State Senate,1st Suffolk,Democratic,Samuel H. Pierce,82
Warren,,A,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Total Votes Cast,477
Barnstable,,9,State House,2nd Barnstable,Republican,Total Votes Cast,99
Needham,,I,U.S. House,4th,Republican,David A. Rosa,23
Boston,1,6,U.S. House,7th,Democratic,Ayanna S. Pressley,286
Lynn,7,4,U.S. House,6th,Republican,John Paul Moran,45
Burlington,,3,Governor's Council,3rd,Democratic,All Others,6
Boston,12,3,U.S. Senate,,Democratic,Total Votes Cast,345
Boston,18,14,U.S. Senate,,Republican,Total Votes Cast,10
Northbridge,,3,U.S. Senate,,Libertarian,Blanks,1
Boston,7,5,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",322
Weymouth,,13,U.S. House,8th,Democratic,Robbie H. Goldstein,139
Hopkinton,,2,U.S. House,,Democratic,Alan A. Khazei,89
New Ashford,,1,State Senate,"Berkshire, Hampshire, Franklin & Hampden",Democratic,All Others,0
Wayland,,3,U.S. House,5th,Democratic,All Others,4
Lawrence,F,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",186
Attleboro,4,B,Governor's Council,2nd,Democratic,All Others,4
