town,ward,precinct,office,district,party,candidate,votes
Boston,10,9,State Senate,2nd Suffolk,Democratic,Blanks,99
Hudson,,6,State House,3rd Middlesex,Democratic,Total Votes Cast,478
Rockland,,1,State House,5th Plymouth,Democratic,Emmanuel J. Dockter,464
Bourne,,1,U.S. House,9th,Republican,All Others,3
Somerville,7,3,U.S. Senate,,Democratic,Edward J. Markey,855
Sandwich,,6,Governor's Council,1st,Democratic,Total Votes Cast,560
Boston,7,6,U.S. House,8th,Democratic,Total Votes Cast,403
Walpole,,6,State Senate,Bristol and Norfolk,Democratic,Blanks,166
Abington,,3,U.S. House,8th,Democratic,Robbie H. Goldstein,150
N. Attleborough,,3,State House,14th Bristol,Democratic,Blanks,28
Natick,,10,U.S. Senate,,Republican,Total Votes Cast,162
Lincoln,,2,U.S. Senate,,Republican,Kevin J. O'Connor,34
New Bedford,1,C,State House,11th Bristol,Democratic,All Others,2
Boston,14,11,U.S. House,7th,Republican,Rayla Campbell,0
Boston,15,7,U.S. House,7th,Democratic,Total Votes Cast,302
Arlington,,16,U.S. Senate,,Republican,Shiva Ayyadurai,22
Belmont,,3,U.S. House,5th,Republican,Total Votes Cast,87
Sandisfield,,1,U.S. Senate,,Republican,All Others,0
Saugus,,9,U.S. House,6th,Democratic,All Others,1
Springfield,1,D,U.S. Senate,,Libertarian,Total Votes Cast,0
Fitchburg,5,A,U.S. Senate,,Republican,Kevin J. O'Connor,144
Lynn,2,2,U.S. Senate,,Democratic,Edward J. Markey,212
Northampton,3,A,U.S. Senate,,Republican,Shiva Ayyadurai,8
Chesterfield,,1,Governor's Council,8th,Democratic,All Others,0
Wellesley,,C,U.S. House,,Democratic,Ihssane Leckey,46
Quincy,5,1,U.S. House,8th,Democratic,All Others,1
Great Barrington,,A,State House,4th Berkshire,Democratic,"William ""Smitty"" Pignatelli",489
Boston,13,1,State House,5th Suffolk,Democratic,Blanks,58
Brookline,,10,U.S. Senate,,Libertarian,All Others,0
Marblehead,,1,U.S. Senate,,Republican,Shiva Ayyadurai,60
Needham,,B,U.S. House,,Democratic,Jesse R. Mermell,242
Lincoln,,1,U.S. House,5th,Democratic,Total Votes Cast,1587
Saugus,,2,U.S. Senate,,Republican,All Others,0
Bellingham,,2,U.S. Senate,,Democratic,Blanks,4
W. Bridgewater,,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",400
Boston,7,1,U.S. Senate,,Republican,Total Votes Cast,48
Boston,20,3,U.S. Senate,,Libertarian,Total Votes Cast,1
Wrentham,,2,State House,9th Norfolk,Democratic,Total Votes Cast,728
Woburn,3,1,U.S. Senate,,Democratic,Blanks,3
S. Hadley,,D,U.S. Senate,,Democratic,Edward J. Markey,424
Aquinnah,,1,U.S. Senate,,Republican,Kevin J. O'Connor,3
Plainville,,1,State Senate,"Norfolk, Bristol and Middlesex",Democratic,All Others,0
TOTALS,,,State House,4th Hampden,Republican,Total Votes Cast,3415
Newton,6,1,U.S. Senate,,Democratic,Total Votes Cast,917
Salem,2,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",284
Abington,,3,U.S. Senate,,Libertarian,All Others,2
Boston,6,3,U.S. Senate,,Democratic,All Others,3
Medfield,,2,U.S. House,,Democratic,Jesse R. Mermell,157
Brockton,2,D,U.S. Senate,,Democratic,Blanks,8
Quincy,5,1,Governor's Council,4th,Democratic,Total Votes Cast,631
Bourne,,5,Governor's Council,1st,Democratic,All Others,1
Lawrence,B,2,Governor's Council,5th,Democratic,Blanks,32
Boston,17,7,U.S. Senate,,Republican,Total Votes Cast,8
Worcester,1,1,U.S. House,2nd,Democratic,All Others,11
Waltham,4,1,U.S. House,5th,Democratic,Total Votes Cast,876
Norton,,2,U.S. House,,Democratic,Natalia Linos,52
Somerset,,4,U.S. Senate,,Democratic,All Others,0
Cambridge,6,2,U.S. Senate,,Democratic,Blanks,2
Tewksbury,,2A,U.S. House,6th,Democratic,Seth W. Moulton,432
Springfield,4,D,U.S. Senate,,Democratic,All Others,2
Lakeville,,3,U.S. House,4th,Republican,Blanks,17
Bernardston,,1,U.S. House,1st,Democratic,Alex B. Morse,283
Chelmsford,,9,U.S. Senate,,Democratic,Blanks,6
Taunton,4,B,Governor's Council,1st,Democratic,Total Votes Cast,472
Chelmsford,,2,State Senate,3rd Middlesex,Democratic,All Others,1
Boston,20,7,U.S. House,8th,Democratic,Total Votes Cast,525
Charlton,,1,Governor's Council,7th,Democratic,Padraic Rafferty,159
Boston,8,4,U.S. House,7th,Democratic,Ayanna S. Pressley,172
Longmeadow,,D,State House,2nd Hampden,Democratic,Blanks,123
Wilbraham,,B,State Senate,1st Hampden and Hampshire,Democratic,All Others,3
Somerville,3,1,U.S. House,7th,Democratic,Ayanna S. Pressley,1164
E. Bridgewater,,4,U.S. Senate,,Republican,Kevin J. O'Connor,140
Quincy,6,4,U.S. Senate,,Republican,Kevin J. O'Connor,38
N. Attleborough,,3,State House,14th Bristol,Democratic,Adam J. Scanlon,274
Wareham,,4,U.S. Senate,,Libertarian,Vermin Love Supreme,0
New Bedford,3,F,U.S. House,9th,Republican,All Others,1
Athol,,1,U.S. Senate,,Libertarian,All Others,4
Wareham,,3,U.S. Senate,,Libertarian,Blanks,3
Marblehead,,6,State House,8th Essex,Democratic,Lori A. Ehrlich,972
Wellesley,,A,U.S. House,4th,Republican,Total Votes Cast,151
Lawrence,C,2,U.S. Senate,,Libertarian,Total Votes Cast,2
Woburn,6,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",134
Fitchburg,1,B,U.S. Senate,,Libertarian,All Others,1
Pembroke,,1,State Senate,Plymouth and Barnstable,Special Democratic,"John T. Mahoney, Jr",150
Springfield,1,B,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Worcester,2,2,U.S. Senate,,Libertarian,All Others,3
Amherst,,6,Governor's Council,8th,Democratic,Total Votes Cast,1007
Fall River,5,B1,U.S. Senate,,Democratic,Edward J. Markey,11
Danvers,,1,U.S. House,6th,Democratic,Angus G. McQuilken,53
Hanover,,4,U.S. Senate,,Republican,Blanks,9
Waltham,5,2,U.S. House,5th,Libertarian,All Others,2
Holliston,,4,State Senate,2nd Middlesex and Norfolk,Democratic,Total Votes Cast,887
Swansea,,2,Governor's Council,1st,Democratic,Total Votes Cast,608
N. Attleborough,,5,U.S. Senate,,Democratic,Blanks,1
Northampton,6,B,U.S. Senate,,Libertarian,Total Votes Cast,1
Boston,18,18,U.S. Senate,,Democratic,All Others,2
Boston,10,5,U.S. House,7th,Republican,Rayla Campbell,0
Acton,,4,U.S. Senate,,Republican,Kevin J. O'Connor,60
Groveland,,2,U.S. Senate,,Libertarian,Total Votes Cast,6
Hardwick,,1,U.S. House,2nd,Republican,Total Votes Cast,163
Winchendon,,2,U.S. Senate,,Democratic,Total Votes Cast,375
Quincy,2,3A,U.S. Senate,,Republican,Total Votes Cast,40
Salem,2,2,State House,7th Essex,Democratic,All Others,1
Revere,2,3,U.S. House,5th,Republican,Total Votes Cast,11
Ludlow,,4,U.S. Senate,,Republican,Blanks,8
Duxbury,,1,U.S. Senate,,Republican,Kevin J. O'Connor,191
Malden,8,1,U.S. House,5th,Democratic,All Others,2
Lowell,9,2,U.S. Senate,,Libertarian,Blanks,2
Marlborough,5,2,State House,4th Middlesex,Democratic,Jeanne M. Cahill,144
Wellesley,,F,State House,14th Norfolk,Democratic,Blanks,94
Newton,2,2,U.S. House,4th,Republican,Blanks,3
Taunton,2,A,U.S. Senate,,Republican,Kevin J. O'Connor,44
Leominster,4,A,U.S. Senate,,Libertarian,All Others,0
Lynn,5,1,U.S. Senate,,Libertarian,Blanks,0
Taunton,2,B,U.S. House,4th,Republican,Julie A. Hall,49
Barnstable,,12,U.S. Senate,,Libertarian,Total Votes Cast,3
Amesbury,,4,State Senate,1st Essex,Democratic,Total Votes Cast,545
Scituate,,1,State Senate,Plymouth and Norfolk,Democratic,Blanks,208
Cambridge,4,2,State House,25th Middlesex,Democratic,Total Votes Cast,1198
Holliston,,1,Governor's Council,2nd,Democratic,Blanks,208
Barnstable,,7,State House,2nd Barnstable,Democratic,Total Votes Cast,1081
Revere,1,1,Governor's Council,6th,Democratic,Terrence W. Kennedy,294
Taunton,1,A,U.S. House,,Democratic,Benjamin R. Sigel,8
Boston,8,2,U.S. Senate,,Libertarian,Total Votes Cast,0
Aquinnah,,1,Governor's Council,1st,Democratic,Joseph C. Ferreira,133
Boston,2,4,U.S. Senate,,Libertarian,All Others,2
Worcester,4,1,U.S. House,2nd,Republican,Total Votes Cast,36
Franklin,,7,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Rebecca L. Rausch,776
Billerica,,11,Governor's Council,3rd,Democratic,All Others,6
Arlington,,14,U.S. House,5th,Democratic,Total Votes Cast,801
Boston,18,21,U.S. House,7th,Republican,Rachel Nicole Miselman,0
Freetown,,1,U.S. House,,Democratic,Becky Grossman,87
Seekonk,,2,Governor's Council,2nd,Democratic,Total Votes Cast,679
Milford,,4,U.S. House,,Democratic,All Others,0
Everett,2,1,U.S. Senate,,Republican,All Others,2
Marblehead,,3,State Senate,3rd Essex,Republican,Total Votes Cast,145
Medford,7,2,U.S. Senate,,Republican,Kevin J. O'Connor,54
Brockton,1,D,Governor's Council,4th,Democratic,Total Votes Cast,827
Leominster,3,A,U.S. Senate,,Republican,Blanks,3
Boston,22,9,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Worcester,2,3,Governor's Council,7th,Democratic,Total Votes Cast,750
Natick,,1,State House,5th Middlesex,Democratic,David Paul Linsky,421
Lowell,8,1,Governor's Council,5th,Democratic,All Others,4
Fitchburg,4,B,Governor's Council,7th,Democratic,Total Votes Cast,384
Springfield,2,G,State House,9th Hampden,Democratic,Total Votes Cast,567
Somerville,5,3,U.S. Senate,,Democratic,Edward J. Markey,1387
Boston,19,7,U.S. Senate,,Republican,Blanks,0
Lawrence,C,4,State Senate,2nd Essex and Middlesex,Democratic,Total Votes Cast,321
Lynn,2,1,U.S. House,6th,Democratic,Seth W. Moulton,568
Barnstable,,10,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",336
Boston,21,5,U.S. Senate,,Democratic,Total Votes Cast,551
Lowell,6,2,State Senate,1st Middlesex,Democratic,Blanks,83
Franklin,,1,State House,10th Norfolk,Republican,All Others,9
Gloucester,1,1,Governor's Council,5th,Democratic,Eileen R. Duff,674
Barnstable,,7,U.S. House,9th,Democratic,Blanks,183
Upton,,2,U.S. House,2nd,Democratic,Blanks,91
Fairhaven,,6,U.S. Senate,,Libertarian,All Others,1
Boston,22,7,U.S. House,7th,Republican,Total Votes Cast,34
Taunton,2,A,U.S. House,,Democratic,Christopher Z. Zannetos,10
Peabody,5,2,State Senate,2nd Essex,Democratic,Joan B. Lovely,383
Boston,11,4,U.S. House,7th,Republican,Rayla Campbell,0
Fall River,6,B,State House,8th Bristol,Democratic,Total Votes Cast,372
Clarksburg,,1,U.S. House,1st,Democratic,Blanks,4
Swansea,,1,U.S. Senate,,Republican,Blanks,3
Melrose,3,2,U.S. House,5th,Democratic,All Others,4
Chicopee,5,B,U.S. Senate,,Libertarian,Total Votes Cast,2
Somerville,2,1,U.S. Senate,,Libertarian,Blanks,0
Medford,6,1,U.S. Senate,,Democratic,Total Votes Cast,1328
Boston,7,7,U.S. House,8th,Democratic,Blanks,14
Gill,,1,U.S. House,2nd,Democratic,Blanks,36
Webster,,2,U.S. Senate,,Democratic,Total Votes Cast,277
Boston,2,5,State Senate,Middlesex and Suffolk,Democratic,All Others,3
Boston,7,2,U.S. House,8th,Democratic,Total Votes Cast,533
Uxbridge,,2,Governor's Council,7th,Democratic,All Others,0
Wellesley,,G,State House,14th Norfolk,Democratic,Total Votes Cast,607
Everett,3,2,U.S. Senate,,Republican,Total Votes Cast,74
Franklin,,2,U.S. House,,Democratic,David Franklin Cavell,16
Raynham,,4,U.S. Senate,,Libertarian,Blanks,2
New Bedford,3,B,U.S. House,9th,Democratic,All Others,1
Acushnet,,1,U.S. House,9th,Republican,All Others,0
Fitchburg,6,B,State House,3rd Worcester,Republican,Total Votes Cast,96
Rockland,,5,State House,5th Plymouth,Democratic,Total Votes Cast,502
Danvers,,7,U.S. House,6th,Republican,John Paul Moran,175
Lawrence,D,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",194
New Bedford,4,D,State Senate,2nd Bristol and Plymouth,Democratic,Total Votes Cast,308
Gloucester,3,2,U.S. Senate,,Republican,Kevin J. O'Connor,49
Medford,4,1,State Senate,2nd Middlesex,Democratic,Patricia D. Jehlen,408
Cambridge,10,1,U.S. Senate,,Democratic,All Others,2
W. Boylston,,2,Governor's Council,7th,Democratic,Paul M. Depalo,516
Lynn,4,4,U.S. Senate,,Democratic,Total Votes Cast,505
Milton,,10,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",292
Taunton,5,A,State House,3rd Bristol,Republican,Blanks,16
Newton,3,1,U.S. Senate,,Democratic,Edward J. Markey,697
Winchendon,,1A,State House,2nd Worcester,Democratic,Jonathan D. Zlotnik,71
Holliston,,3,U.S. House,5th,Republican,Blanks,21
Shrewsbury,,5,U.S. House,2nd,Democratic,Blanks,83
Rockland,,3,U.S. House,9th,Republican,Helen Brady,114
Lowell,9,1,U.S. Senate,,Libertarian,Vermin Love Supreme,1
Shelburne,,1,U.S. Senate,,Libertarian,Blanks,1
Lynnfield,,4,State House,20th Middlesex,Republican,Total Votes Cast,279
N. Brookfield,,1,U.S. House,2nd,Republican,Tracy Lyn Lovvorn,296
Everett,5,1,U.S. Senate,,Republican,All Others,2
Williamstown,,3,State House,1st Berkshire,Democratic,All Others,8
Newton,5,3,U.S. House,,Democratic,Jake Auchincloss,377
Boston,12,4,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Worcester,1,2,U.S. House,2nd,Republican,All Others,2
Northampton,1,B,State Senate,"Hampshire, Franklin and Worcester",Democratic,Joanne M. Comerford,876
Lakeville,,1,U.S. Senate,,Republican,Kevin J. O'Connor,98
Needham,,B,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Rebecca L. Rausch,824
Boston,14,3,Governor's Council,4th,Democratic,Total Votes Cast,344
Medford,4,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",98
Boston,8,2,U.S. Senate,,Democratic,Edward J. Markey,480
Everett,5,2,Governor's Council,6th,Democratic,All Others,1
Westwood,,1,U.S. House,8th,Democratic,Total Votes Cast,1132
Barnstable,,13,U.S. Senate,,Libertarian,Total Votes Cast,1
Salem,5,1,U.S. House,6th,Republican,Total Votes Cast,77
Gloucester,1,1,U.S. Senate,,Republican,Shiva Ayyadurai,60
Mansfield,,5,U.S. House,,Democratic,Benjamin R. Sigel,7
Leicester,,1,U.S. Senate,,Libertarian,Total Votes Cast,1
Newton,2,3,State House,11th Middlesex,Democratic,Total Votes Cast,1194
Dudley,,2,U.S. Senate,,Republican,Kevin J. O'Connor,141
Watertown,,2,U.S. Senate,,Republican,Blanks,1
Beverly,5,2,U.S. Senate,,Libertarian,Total Votes Cast,1
Topsfield,,1,U.S. Senate,,Republican,Shiva Ayyadurai,192
Hopedale,,1,U.S. House,,Democratic,Jake Auchincloss,261
Sandwich,,2,State Senate,Plymouth and Barnstable,Democratic,Total Votes Cast,888
Boston,7,10,U.S. Senate,,Democratic,Total Votes Cast,347
Newton,7,1,U.S. Senate,,Libertarian,All Others,1
Westport,,A,State Senate,1st Bristol and Plymouth,Democratic,Michael J. Rodrigues,459
Kingston,,3,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Boston,21,3,U.S. Senate,,Republican,Total Votes Cast,13
Boston,18,10,U.S. House,7th,Republican,All Others,9
Quincy,6,2,U.S. House,8th,Democratic,Blanks,10
Fall River,2,C,U.S. Senate,,Republican,Kevin J. O'Connor,31
Medford,5,2,U.S. Senate,,Republican,All Others,1
Boston,17,8,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",275
Danvers,,3,U.S. Senate,,Democratic,All Others,0
Holyoke,2,B,U.S. House,1st,Democratic,Total Votes Cast,243
Belmont,,4,U.S. Senate,,Libertarian,Total Votes Cast,1
Boston,2,4,Governor's Council,6th,Democratic,Blanks,84
New Bedford,6,E,U.S. House,9th,Democratic,Bill Keating,163
Leyden,,1,State Senate,"Hampshire, Franklin and Worcester",Democratic,Total Votes Cast,256
W. Boylston,,2,U.S. Senate,,Democratic,Blanks,14
Middleborough,,1,U.S. Senate,,Democratic,Total Votes Cast,953
Framingham,,4,State House,6th Middlesex,Democratic,Blanks,224
Boston,12,5,U.S. House,7th,Republican,Rachel Nicole Miselman,0
Franklin,,2,U.S. House,4th,Republican,Julie A. Hall,124
Haverhill,3,1,U.S. Senate,,Republican,All Others,2
Heath,,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",52
Lynn,7,1,U.S. House,6th,Republican,All Others,1
Andover,,6,U.S. Senate,,Republican,Kevin J. O'Connor,132
New Bedford,3,D,U.S. House,9th,Democratic,All Others,3
Hanson,,2,State House,6th Plymouth,Democratic,Total Votes Cast,659
Everett,6,1,State Senate,Middlesex and Suffolk,Democratic,Sal N. DiDomenico,483
Duxbury,,3,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Northampton,5,B,U.S. House,2nd,Republican,All Others,0
Wareham,,3,U.S. House,9th,Democratic,Bill Keating,575
Boston,20,3,State Senate,Norfolk and Suffolk,Democratic,Total Votes Cast,602
Raynham,,4,U.S. Senate,,Republican,Blanks,6
Wilbraham,,D,U.S. Senate,,Democratic,Total Votes Cast,897
Falmouth,,9,State Senate,Plymouth and Barnstable,Republican,Blanks,22
Marlborough,2,1,U.S. House,3rd,Democratic,Lori Loureiro Trahan,469
Taunton,6,B,U.S. Senate,,Libertarian,Total Votes Cast,6
Mansfield,,6,State House,1st Bristol,Republican,Blanks,28
Needham,,J,U.S. Senate,,Libertarian,Blanks,0
Boston,3,7,Governor's Council,4th,Democratic,All Others,6
Everett,6,2,U.S. House,7th,Republican,Rachel Nicole Miselman,0
Arlington,,12,State House,24th Middlesex,Democratic,Blanks,108
Boston,1,9,Governor's Council,6th,Democratic,Helina Fontes,151
Lynn,7,3,Governor's Council,6th,Democratic,All Others,0
Northborough,,3,Governor's Council,3rd,Democratic,Blanks,160
Leominster,2,C,State House,4th Worcester,Republican,All Others,0
Raynham,,1A,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",34
Carver,,3,U.S. Senate,,Republican,Total Votes Cast,316
Waltham,9,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Norton,,5,U.S. House,4th,Republican,Blanks,4
Chatham,,1,U.S. Senate,,Libertarian,Blanks,1
Marblehead,,3,State House,8th Essex,Democratic,Lori A. Ehrlich,802
Plainville,,3,U.S. House,,Democratic,Alan A. Khazei,38
Athol,,1,Governor's Council,7th,Democratic,Padraic Rafferty,167
Newton,3,3,U.S. House,,Democratic,Natalia Linos,87
Yarmouth,,6,U.S. Senate,,Libertarian,All Others,2
Attleboro,3,B,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",409
Northbridge,,2,U.S. House,2nd,Democratic,All Others,2
Norwell,,2,Governor's Council,4th,Democratic,Total Votes Cast,819
Worcester,10,5,Governor's Council,7th,Democratic,Blanks,23
Medford,2,2,State Senate,2nd Middlesex,Democratic,Total Votes Cast,1087
Fitchburg,4,A,State House,3rd Worcester,Democratic,Total Votes Cast,203
Brookline,,12,U.S. Senate,,Libertarian,Total Votes Cast,1
Watertown,,5,State Senate,2nd Suffolk and Middlesex,Democratic,Total Votes Cast,979
Lunenburg,,B,State Senate,Worcester and Middlesex,Democratic,Total Votes Cast,513
Gloucester,4,1,State Senate,1st Essex and Middlesex,Republican,Total Votes Cast,122
Quincy,3,3,Governor's Council,4th,Democratic,Total Votes Cast,447
Springfield,5,C,U.S. Senate,,Republican,All Others,0
TOTALS,,,State House,4th Worcester,Republican,Total Votes Cast,2023
Somerville,5,1,State Senate,2nd Middlesex,Democratic,All Others,2
Newton,4,2,U.S. Senate,,Republican,Blanks,0
Newton,3,1,State Senate,1st Middlesex and Norfolk,Democratic,All Others,5
Attleboro,3,A,U.S. Senate,,Libertarian,All Others,4
Lawrence,B,4,Governor's Council,5th,Democratic,Total Votes Cast,391
Gardner,4,A,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",178
Amherst,,9,U.S. Senate,,Democratic,Edward J. Markey,628
TOTALS,,,State House,37th Middlesex,Republican,Catherine J. Clark,1368
Holyoke,3,A,State House,5th Hampden,Democratic,All Others,0
Chicopee,3,A,U.S. Senate,,Libertarian,Blanks,3
Concord,,4,U.S. House,3rd,Democratic,All Others,3
Leominster,5,B,Governor's Council,7th,Democratic,Total Votes Cast,495
Reading,,4,U.S. Senate,,Libertarian,Blanks,3
Boston,20,7,U.S. Senate,,Libertarian,All Others,2
Seekonk,,4,U.S. Senate,,Republican,Total Votes Cast,154
Lynn,3,4,Governor's Council,6th,Democratic,Helina Fontes,269
Easton,,1,U.S. House,,Democratic,All Others,0
Boston,15,2,U.S. Senate,,Democratic,Edward J. Markey,107
Billerica,,4,U.S. House,6th,Republican,John Paul Moran,157
Boston,4,4,U.S. House,7th,Republican,Total Votes Cast,24
Shrewsbury,,8,State Senate,2nd Worcester,Democratic,All Others,1
Woburn,5,2,State House,30th Middlesex,Democratic,Blanks,134
New Bedford,2,A,U.S. Senate,,Libertarian,Total Votes Cast,0
Dennis,,4,State Senate,Cape and Islands,Democratic,All Others,6
Boston,11,9,U.S. House,8th,Democratic,Total Votes Cast,601
Winthrop,,2,State House,19th Suffolk,Democratic,Robert A. DeLeo,533
Chelsea,1,1,U.S. Senate,,Republican,Total Votes Cast,16
Salem,6,1,State House,7th Essex,Democratic,Paul F. Tucker,787
Lowell,5,1,U.S. House,3rd,Democratic,All Others,1
Medford,5,1,U.S. House,5th,Democratic,Blanks,108
Maynard,,1,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,662
Worcester,9,1,Governor's Council,7th,Democratic,Padraic Rafferty,231
Quincy,4,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",351
Sharon,,1,U.S. Senate,,Republican,Total Votes Cast,126
Hudson,,2,State House,3rd Middlesex,Democratic,Blanks,54
Quincy,4,2,U.S. Senate,,Libertarian,Blanks,0
Northampton,6,B,State Senate,"Hampshire, Franklin and Worcester",Democratic,Total Votes Cast,915
Melrose,6,2,Governor's Council,6th,Democratic,Helina Fontes,204
Springfield,6,E,U.S. Senate,,Democratic,Total Votes Cast,258
Lexington,,4,U.S. Senate,,Republican,All Others,5
Worcester,10,4,U.S. Senate,,Democratic,Blanks,1
Leominster,4,A,U.S. House,2nd,Republican,Tracy Lyn Lovvorn,153
Templeton,,A,U.S. Senate,,Libertarian,All Others,1
Alford,,1,U.S. House,1st,Democratic,Total Votes Cast,191
Danvers,,1,U.S. House,6th,Republican,John Paul Moran,156
Braintree,,3A,State House,5th Norfolk,Democratic,Total Votes Cast,633
Springfield,2,A,State Senate,Hampden,Democratic,James T. Welch,68
Monterey,,1,U.S. House,1st,Democratic,Alex B. Morse,138
Brockton,3,B,U.S. Senate,,Republican,Kevin J. O'Connor,15
Pembroke,,2,U.S. Senate,,Republican,Blanks,4
Weymouth,,13,State House,4th Norfolk,Democratic,James Michael Murphy,330
Westford,,6,U.S. House,3rd,Democratic,Lori Loureiro Trahan,641
Salem,5,1,Governor's Council,5th,Democratic,Total Votes Cast,872
Boston,9,2,U.S. House,7th,Republican,All Others,8
Andover,,2,U.S. House,3rd,Democratic,Lori Loureiro Trahan,816
Quincy,2,1,State House,3rd Norfolk,Democratic,Blanks,127
Hamilton,,2,U.S. House,6th,Democratic,Jamie M. Belsito,60
Brockton,4,D,U.S. Senate,,Democratic,Edward J. Markey,209
N. Attleborough,,8,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Blanks,146
Chelsea,4,1,State House,2nd Suffolk,Democratic,Blanks,14
Beverly,5,1,State House,6th Essex,Democratic,Jerald A. Parisella,669
Boston,11,6,U.S. House,7th,Republican,Rachel Nicole Miselman,0
Millbury,,3,State Senate,2nd Worcester,Democratic,Total Votes Cast,535
Watertown,,10,State Senate,2nd Suffolk and Middlesex,Democratic,Blanks,220
Plymouth,,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",325
Holliston,,2,U.S. House,5th,Democratic,Blanks,119
Boston,20,1,State Senate,Norfolk and Suffolk,Democratic,All Others,9
Kingston,,4,U.S. Senate,,Democratic,Blanks,3
Sandwich,,5,State Senate,Plymouth and Barnstable,Republican,Blanks,74
Braintree,,3B,U.S. Senate,,Libertarian,Total Votes Cast,3
Millis,,3,Governor's Council,2nd,Democratic,Total Votes Cast,749
Carver,,2,U.S. House,9th,Republican,Total Votes Cast,221
Granville,,1,State House,3rd Hampden,Democratic,All Others,0
Barnstable,,1,Governor's Council,1st,Democratic,All Others,2
Pittsfield,4,B,State House,3rd Berkshire,Democratic,Blanks,180
Boston,20,18,U.S. Senate,,Libertarian,Total Votes Cast,0
Taunton,6,A,U.S. House,4th,Republican,Julie A. Hall,29
Bellingham,,4,Governor's Council,7th,Democratic,Padraic Rafferty,133
Newton,1,2,U.S. House,,Democratic,Christopher Z. Zannetos,12
Plainville,,3,Governor's Council,2nd,Democratic,Robert L. Jubinville,403
Colrain,,1,U.S. Senate,,Democratic,Total Votes Cast,442
Boston,15,6,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",172
Barnstable,,12,State Senate,Cape and Islands,Democratic,Blanks,116
Lowell,3,3,U.S. Senate,,Democratic,Total Votes Cast,312
Quincy,3,5,U.S. House,8th,Democratic,Stephen F. Lynch,261
Lowell,11,1,State Senate,1st Middlesex,Democratic,"Edward J. Kennedy, Jr",342
Cambridge,8,1,U.S. Senate,,Republican,All Others,0
Plainville,,2,State House,9th Norfolk,Republican,Shawn C. Dooley,196
Quincy,5,2,U.S. House,8th,Democratic,Blanks,31
Chicopee,6,AS,U.S. Senate,,Democratic,Total Votes Cast,354
Wellesley,,F,U.S. House,4th,Republican,Blanks,12
Haverhill,7,2,U.S. House,3rd,Democratic,Lori Loureiro Trahan,396
Lawrence,F,3,U.S. Senate,,Libertarian,All Others,0
Townsend,,1,U.S. Senate,,Libertarian,Total Votes Cast,0
Boston,20,1,U.S. Senate,,Republican,All Others,0
Holyoke,2,A,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Westfield,6,A,State Senate,2nd Hampden and Hampshire,Republican,Total Votes Cast,341
Sturbridge,,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,Steven R. Hall,172
Marlborough,1,1,U.S. Senate,,Libertarian,Total Votes Cast,4
Taunton,3,A,U.S. Senate,,Libertarian,Total Votes Cast,3
Brewster,,1,U.S. Senate,,Libertarian,Blanks,0
Plymouth,,13,State House,12th Plymouth,Democratic,Blanks,149
Salem,4,2,U.S. Senate,,Republican,All Others,0
Lawrence,A,4,U.S. Senate,,Democratic,Total Votes Cast,324
Boston,17,7,U.S. Senate,,Democratic,Total Votes Cast,251
Northampton,7,A,U.S. House,2nd,Republican,Total Votes Cast,47
Beverly,2,1,Governor's Council,5th,Democratic,Blanks,124
Templeton,,B,State House,2nd Franklin,Republican,Blanks,159
Boston,20,15,U.S. Senate,,Republican,All Others,4
Warwick,,1,Governor's Council,8th,Democratic,Mary E. Hurley,188
Boston,22,5,State Senate,Middlesex and Suffolk,Democratic,Blanks,88
Norfolk,,3,U.S. Senate,,Republican,Blanks,3
Bedford,,4,U.S. Senate,,Democratic,Edward J. Markey,631
Boston,21,15,U.S. Senate,,Democratic,Blanks,3
Worcester,2,1,Governor's Council,7th,Democratic,Paul M. Depalo,479
S. Hadley,,C,State House,2nd Hampshire,Democratic,Daniel R. Carey,797
Plainville,,3,U.S. Senate,,Democratic,All Others,0
