county,precinct_code,precinct,office,district,party,candidate,votes
Adams,311,Lind #1,President,,Democratic Party,Pete Buttigieg,0
Adams,311,Lind #1,President,,Democratic Party,Write-in,0
Adams,311,Lind #1,President,,Democratic Party,John Delaney,1
Adams,311,Lind #1,President,,Democratic Party,Tulsi Gabbard,0
Adams,311,Lind #1,President,,Democratic Party,Amy Klobuchar,2
Adams,311,Lind #1,President,,Democratic Party,Deval Patrick,0
Adams,313,Hatton City,President,,Democratic Party,Michael Bennet,0
Adams,313,Hatton City,President,,Democratic Party,Bernie Sanders,1
Adams,313,Hatton City,President,,Democratic Party,Tom Steyer,0
Adams,313,Hatton City,President,,Democratic Party,Elizabeth Warren,0
Adams,313,Hatton City,President,,Democratic Party,Andrew Yang,0
Adams,313,Hatton City,President,,Democratic Party,Uncommitted Delegates,0
Adams,313,Hatton City,President,,Democratic Party,Joseph R. Biden,0
Adams,313,Hatton City,President,,Democratic Party,Michael Bloomberg,0
Adams,313,Hatton City,President,,Democratic Party,Cory Booker,0
Adams,313,Hatton City,President,,Democratic Party,Pete Buttigieg,1
Adams,313,Hatton City,President,,Democratic Party,Write-in,0
Adams,313,Hatton City,President,,Democratic Party,John Delaney,0
Adams,313,Hatton City,President,,Democratic Party,Tulsi Gabbard,0
Adams,313,Hatton City,President,,Democratic Party,Amy Klobuchar,0
Adams,313,Hatton City,President,,Democratic Party,Deval Patrick,0
Adams,321,Lind Rural,President,,Democratic Party,Michael Bennet,0
Adams,321,Lind Rural,President,,Democratic Party,Bernie Sanders,0
Adams,321,Lind Rural,President,,Democratic Party,Tom Steyer,0
Adams,321,Lind Rural,President,,Democratic Party,Elizabeth Warren,2
Adams,321,Lind Rural,President,,Democratic Party,Andrew Yang,0
Adams,321,Lind Rural,President,,Democratic Party,Uncommitted Delegates,1
Adams,321,Lind Rural,President,,Democratic Party,Joseph R. Biden,3
Adams,321,Lind Rural,President,,Democratic Party,Michael Bloomberg,4
Adams,321,Lind Rural,President,,Democratic Party,Cory Booker,0
Adams,321,Lind Rural,President,,Democratic Party,Pete Buttigieg,1
Adams,321,Lind Rural,President,,Democratic Party,Write-in,0
Adams,321,Lind Rural,President,,Democratic Party,John Delaney,0
Adams,321,Lind Rural,President,,Democratic Party,Tulsi Gabbard,0
Adams,321,Lind Rural,President,,Democratic Party,Amy Klobuchar,1
Adams,321,Lind Rural,President,,Democratic Party,Deval Patrick,0
Adams,322,Fairview,President,,Democratic Party,Michael Bennet,0
Adams,322,Fairview,President,,Democratic Party,Bernie Sanders,0
Adams,322,Fairview,President,,Democratic Party,Tom Steyer,0
Adams,322,Fairview,President,,Democratic Party,Elizabeth Warren,1
Adams,322,Fairview,President,,Democratic Party,Andrew Yang,1
Adams,322,Fairview,President,,Democratic Party,Uncommitted Delegates,0
Adams,322,Fairview,President,,Democratic Party,Joseph R. Biden,1
Adams,322,Fairview,President,,Democratic Party,Michael Bloomberg,0
Adams,322,Fairview,President,,Democratic Party,Cory Booker,0
Adams,322,Fairview,President,,Democratic Party,Pete Buttigieg,0
Adams,322,Fairview,President,,Democratic Party,Write-in,0
Adams,322,Fairview,President,,Democratic Party,John Delaney,0
Adams,322,Fairview,President,,Democratic Party,Tulsi Gabbard,0
Adams,322,Fairview,President,,Democratic Party,Amy Klobuchar,0
Adams,322,Fairview,President,,Democratic Party,Deval Patrick,0
Adams,323,Schrag,President,,Democratic Party,Michael Bennet,0
Adams,323,Schrag,President,,Democratic Party,Bernie Sanders,4
Adams,323,Schrag,President,,Democratic Party,Tom Steyer,0
Adams,323,Schrag,President,,Democratic Party,Elizabeth Warren,0
Adams,323,Schrag,President,,Democratic Party,Andrew Yang,1
Adams,323,Schrag,President,,Democratic Party,Uncommitted Delegates,0
Adams,323,Schrag,President,,Democratic Party,Joseph R. Biden,4
Adams,323,Schrag,President,,Democratic Party,Michael Bloomberg,0
Adams,323,Schrag,President,,Democratic Party,Cory Booker,0
Adams,323,Schrag,President,,Democratic Party,Pete Buttigieg,0
Adams,323,Schrag,President,,Democratic Party,Write-in,0
Adams,323,Schrag,President,,Democratic Party,John Delaney,0
Adams,323,Schrag,President,,Democratic Party,Tulsi Gabbard,1
Adams,323,Schrag,President,,Democratic Party,Amy Klobuchar,0
Adams,323,Schrag,President,,Democratic Party,Deval Patrick,0
Adams,324,Hatton Rural,President,,Democratic Party,Michael Bennet,0
Adams,324,Hatton Rural,President,,Democratic Party,Bernie Sanders,6
Adams,324,Hatton Rural,President,,Democratic Party,Tom Steyer,0
Adams,324,Hatton Rural,President,,Democratic Party,Elizabeth Warren,0
Adams,324,Hatton Rural,President,,Democratic Party,Andrew Yang,0
Adams,324,Hatton Rural,President,,Democratic Party,Uncommitted Delegates,0
Adams,324,Hatton Rural,President,,Democratic Party,Joseph R. Biden,0
Adams,324,Hatton Rural,President,,Democratic Party,Michael Bloomberg,1
Adams,324,Hatton Rural,President,,Democratic Party,Cory Booker,0
Adams,324,Hatton Rural,President,,Democratic Party,Pete Buttigieg,0
Adams,324,Hatton Rural,President,,Democratic Party,Write-in,0
